round,accuracy,training_time,round_time
1,9.74,2.1602049,4.054711500000002
2,10.36,0.8729305999999983,2.7458931
3,38.46,0.9033534000000003,2.8039614999999998
4,74.44,0.7723498999999983,2.699352900000001
5,72.14,0.7635128999999985,2.7004759999999983
6,89.63,0.8865845999999991,2.7539961999999996
7,92.22,0.9685474999999997,2.8689398999999973
8,92.31,0.8143267999999999,2.705531999999998
9,93.55,0.7284706000000014,2.6936594999999954
10,92.45,0.9530844000000016,2.917335599999994
11,93.75,1.0553945999999996,2.985709199999995
12,93.8,0.9062720999999954,2.8257644999999982
