round,accuracy,training_time,round_time
1,32.83,1.409233500000001,5.5605449
2,70.06,12.941217700000001,15.278103400000003
3,82.46,4.831303600000002,8.016656199999996
4,88.91,4.764285799999996,6.603277899999995
5,89.96,0.9835975000000019,2.7884705999999966
6,86.96000000000001,1.0618480000000048,2.9114332000000047
7,93.92,0.8255218000000042,3.1300431000000017
8,95.30999999999999,5.633022199999999,7.976821599999994
9,95.19,8.831857900000003,10.842070200000002
10,95.13000000000001,1.8945406999999932,4.506596799999997
11,95.25,10.387070500000007,12.508804900000001
12,95.99,3.0571708000000086,4.93996460000001
13,96.44,0.9216788999999892,2.727376499999991
14,96.2,1.0145869000000118,2.8013289999999955
15,95.97,1.0124454999999983,2.792778300000009
16,94.72,0.9084197999999901,2.751878999999988
17,96.11,0.9699750000000051,2.7512530000000055
18,95.27,1.020132899999993,2.806469800000002
19,95.33,0.9573979999999978,2.756134899999992
20,95.83,1.0153435000000002,2.799250100000009
21,95.26,1.0076344000000006,2.779328399999997
22,96.38,0.9007220000000018,2.703618700000007
23,96.45,1.025160200000002,2.8299082999999996
24,96.03,0.9762232000000068,2.750757699999994
25,95.71,0.9338966000000113,2.7421850000000063
26,95.5,1.0008545000000026,2.7772027000000037
27,96.03,0.9566179999999918,2.7481875999999943
28,95.8,0.9571947000000023,2.751884899999993
29,96.95,0.9489696999999921,2.7043193999999744
30,96.39999999999999,0.9696305999999879,2.757602100000014
