round,accuracy,training_time,round_time
1,65.01,0.29694766202010214,3.3879004940390587
2,70.78,0.3690352018456906,2.881348559865728
3,72.37,0.40348641900345683,2.8767646190244704
4,74.96000000000001,0.3533829201478511,3.283007910940796
5,75.14,0.3594146720133722,3.27182166907005
6,76.33,0.2867444499861449,3.2052979758009315
7,77.75999999999999,0.35520376497879624,3.327311527915299
8,78.10000000000001,0.37770497309975326,2.8433730308897793
9,79.09,0.2882202579639852,2.784573952900246
10,79.45,0.29526020702905953,2.7892120990436524
11,79.52,0.2942987270653248,2.7913453199435025
12,79.4,0.288552348036319,2.792569831945002
13,80.14,0.29579341202042997,2.789507096167654
14,79.62,0.35617913003079593,2.8610484008677304
15,80.42,0.3117111190222204,2.8013438310008496
16,79.81,0.29135285993106663,3.206231208052486
17,80.15,0.2967340738978237,3.250552862882614
18,80.67,0.29322447697632015,2.803602884989232
19,79.81,0.3195656689349562,2.8232132878620178
20,80.06,0.3080187030136585,2.805680782068521
21,80.84,0.30626430199481547,2.874730459880084
22,80.34,0.28785031707957387,2.7723299951758236
23,80.96,0.3478250771295279,3.2797715640626848
24,81.04,0.2888374689500779,2.7754142449703068
25,81.11,0.2856081009376794,2.7901126539800316
26,81.23,0.28762559383176267,2.788587633986026
27,81.36,0.29590656980872154,2.7969329899642617
28,81.28,0.2893113119062036,2.77677414403297
29,81.69,0.27245362708345056,2.766333830077201
30,81.37,0.282023954205215,2.7745916480198503
31,81.45,0.2832068901043385,2.7832095741759986
32,81.03,0.29165135510265827,2.7922232910059392
33,81.78,0.2846896031405777,2.7779661340173334
34,81.45,0.28645269689150155,2.7847032290883362
35,81.63,0.33361141104251146,2.842418641084805
36,81.55,0.2845850989688188,2.8197530151810497
37,81.74,0.30491367797367275,2.8110655788332224
38,81.6,0.30113512091338634,2.7889382007997483
39,81.91000000000001,0.28093011397868395,2.7609407659620047
40,81.84,0.3141804898623377,2.812614046037197
41,81.83,0.30581534118391573,3.3060664599761367
42,81.36,0.2919005420990288,2.7913474168162793
43,81.8,0.30212567397393286,2.813065074151382
44,82.06,0.3097712048329413,2.811590575845912
45,81.94,0.3050040358211845,2.7808229031506926
46,82.07,0.34422306809574366,2.8531339741311967
47,82.16,0.36565429205074906,2.847823697840795
48,82.14,0.3055870400276035,2.791447927011177
49,81.96,0.28904686006717384,2.790652113966644
50,82.07,0.28712781285867095,2.78057350195013
