round,accuracy,training_time,round_time
1,10.26,210.0521971869748,227.1478402300272
2,9.87,182.6709529219661,197.82878659595735
3,11.07,125.11951915710233,140.2038507689722
4,11.24,99.91337266308255,118.1721448750468
5,14.000000000000002,114.83193701901473,127.5957881869981
6,14.75,155.3205845169723,169.12015228101518
7,15.58,171.82341927895322,188.8177563410718
8,15.770000000000001,147.52275423100218,162.8970012429636
9,17.86,146.13273362605833,163.52991187595762
10,18.43,190.0116405079607,204.3964478459675
11,15.76,187.75954109698068,201.48333861702122
12,16.64,148.81525291700382,165.0348695019493
13,21.060000000000002,164.49089642602485,181.45290428004228
14,19.86,170.6971307969652,186.89994984702207
15,20.72,143.71240405191202,159.84910372900777
16,20.19,182.36665775894653,197.6043463719543
17,24.240000000000002,166.6271323330002,184.4934158399701
18,20.349999999999998,160.97827616904397,177.07175094494596
19,27.55,146.36355674499646,162.63338673103135
20,26.640000000000004,186.82853132707532,202.6935647459468
21,25.41,230.81609550502617,244.10434587008785
22,28.43,148.8850273709977,163.7947933630785
23,25.03,149.909250794095,165.37228685303126
24,26.39,175.09837853198405,191.0162456430262
25,30.54,203.39836154109798,216.2577803520253
26,30.759999999999998,205.60980809794273,217.91518436698243
27,26.790000000000003,166.521745978971,183.4676361909369
28,32.97,179.03945051995106,195.09034806396812
29,32.11,158.66469127696473,174.08939750306308
30,32.73,148.09727225394454,162.91792108805384
31,33.739999999999995,143.79954721406102,159.48944522393867
32,33.12,153.56767655105796,168.9243673760211
33,35.93,170.13153902906924,185.59257494693156
34,34.31,147.22062437899876,163.10773738706484
35,30.759999999999998,141.06373983400408,157.91824556398205
36,33.44,170.81284341798164,188.02184926404152
37,31.480000000000004,151.20288158790208,167.40270626696292
38,33.4,158.130161015084,173.9647003930295
39,34.589999999999996,168.83932754502166,185.80222925392445
40,38.91,148.82998401706573,166.0975356339477
41,36.6,169.1868853259366,186.23301866208203
42,36.21,143.90053889807314,159.36882389895618
43,37.74,202.93093997100368,215.8292849699501
44,35.32,188.7023437420139,202.9522832670482
45,36.25,159.80348870507441,175.88354027201422
46,34.449999999999996,140.11876341304742,155.7338054040447
47,37.18,212.36805278703105,229.06050168303773
48,36.44,162.55593135592062,178.35928384703584
49,39.24,168.03802945802454,184.95333683292847
50,37.97,138.90745572699234,154.5799164159689
