round,accuracy,training_time,round_time
1,10.02,0.9565829960629344,4.233003089204431
2,13.99,1.3543913811445236,4.499967440962791
3,23.51,0.8878528869245201,3.943715491797775
4,24.740000000000002,1.6979104441124946,4.7435337419155985
5,25.85,1.1971939399372786,4.275537604931742
6,26.889999999999997,2.0222172369249165,5.093244709074497
7,30.11,1.8813341329805553,4.9082499539945275
8,37.85,1.5352255350444466,4.591249057091773
9,43.91,1.380405968055129,4.387792724883184
10,50.870000000000005,0.9563105618581176,3.9771352340467274
11,56.92,1.6802911248523742,4.769815820036456
12,58.809999999999995,2.0514851848129183,5.045864651910961
13,58.940000000000005,1.896225107833743,4.983000670094043
14,60.38,1.4556251110043377,4.534455730114132
15,62.339999999999996,1.1424221550114453,4.247175354044884
16,62.739999999999995,1.6920970841310918,4.7523833070881665
17,59.95,1.4745295729953796,4.440289402147755
18,65.07,1.3507707722019404,4.4885655250400305
19,66.25999999999999,1.734829287044704,4.805476698093116
20,66.45,1.826567835174501,4.980974628124386
21,66.18,1.7730861909221858,4.783854363951832
22,66.91,1.5861634900793433,4.68940500007011
23,66.49000000000001,2.5852890820242465,5.675834581954405
24,65.47,1.8367458800785244,4.847717039985582
25,68.16,2.0953897840809077,5.178757735993713
26,68.83,2.422725658165291,5.51014356315136
27,67.80000000000001,2.189765026094392,5.285365781048313
28,68.47,1.604303089901805,4.669919992098585
29,69.25,2.63480017404072,5.685154437087476
30,70.7,1.8568006970454007,4.936084970831871
31,70.58,2.4671500159893185,5.486328223021701
32,68.93,1.961558214155957,5.01668007299304
33,71.05,1.7138299869839102,4.900381492916495
34,70.39999999999999,1.5396085849497467,4.578199874842539
35,70.73,2.2687345650047064,5.3358526499941945
36,71.26,2.0435589330736548,5.200084160780534
37,71.52,1.1331389911938459,4.190465210936964
38,71.22,1.7859170269221067,4.758662950946018
39,71.67999999999999,1.321030821884051,4.39754428784363
40,71.83,1.3626824070233852,4.472474363865331
41,71.89999999999999,1.497002940159291,4.4975192081183195
42,71.8,1.7510054809972644,4.809402391081676
43,71.59,1.3957798921037465,4.510467008920386
44,72.78999999999999,1.411929288879037,4.505481835920364
45,73.47,1.1607255740091205,4.207475936971605
46,72.58,2.3547313360031694,5.392709978157654
47,71.56,1.8298091900069267,4.854937508003786
48,73.95,1.4540834680665284,4.538617287995294
49,74.13,1.9452791940420866,4.969762786990032
50,74.53,2.001881572883576,5.108129880158231
