round,accuracy,training_time,round_time
1,9.370000000000001,1.3165652558673173,4.600241824053228
2,10.040000000000001,1.1092736979480833,4.214309409959242
3,10.01,1.0158113210927695,4.093607051996514
4,10.69,1.979485628893599,5.020798682002351
5,18.08,1.2860306680668145,4.41895079286769
6,18.77,1.3691489368211478,4.4756909378338605
7,14.21,1.032450194004923,4.150875469204038
8,10.09,1.4576295039150864,4.582525081932545
9,13.15,1.6146500550676137,4.6177011479157954
10,10.0,1.494284168817103,4.581897264812142
11,10.01,1.2661565691232681,4.3173988298512995
12,10.0,1.7876922311261296,5.052444112952799
13,10.0,1.655761491972953,4.783852980006486
14,24.4,1.004126793006435,4.089768890058622
15,28.92,1.8211910091340542,4.889666000846773
16,27.62,2.1111519439145923,5.15180382784456
17,31.419999999999998,2.338449484203011,5.3354632700793445
18,30.599999999999998,1.9767447661142796,5.0541325700469315
19,33.51,1.5931068339850754,4.680687573039904
20,29.020000000000003,1.6985533030238003,4.729143888922408
21,19.689999999999998,1.8375100810080767,4.922705912031233
22,33.58,2.0802667518146336,5.151463889051229
23,21.060000000000002,2.23941439203918,5.253002028912306
24,48.54,1.428264136891812,4.539747731061652
25,45.28,1.4262358541600406,4.41330462298356
26,47.699999999999996,1.6218351509887725,4.640812678029761
27,55.230000000000004,1.2152700230944902,4.313639036146924
28,55.75,1.7577860138844699,4.7236276681069285
29,52.59,1.8756721999961883,5.009823824977502
30,62.260000000000005,1.6788474267814308,4.738042409066111
31,62.019999999999996,1.6990417980123311,4.803714527050033
32,63.690000000000005,1.4018477338831872,4.479507043026388
33,61.22,1.6667896169237792,4.840324318036437
34,63.54,2.2614479130133986,5.3810755831655115
35,69.41000000000001,1.978533687070012,5.02589508309029
36,67.92,1.5534321919549257,4.714317905949429
37,66.62,1.8424071629997343,4.948935118038207
38,65.57,2.2154436679556966,5.2194037809967995
39,64.74,2.1144624347798526,5.193485023919493
40,66.77,1.99284643586725,4.971390922088176
41,70.11,1.831848356174305,4.8186835939995944
42,69.06,1.574035598197952,4.6150668249465525
43,67.75999999999999,2.1084552840329707,5.189374929992482
44,67.16,1.8854129910469055,4.853684862144291
45,69.93,2.295604514889419,5.38274010294117
46,71.85000000000001,1.8462041048333049,4.932713530026376
47,66.96,2.8438529861159623,5.916678007226437
48,70.67999999999999,1.8979450389742851,4.885618675965816
49,70.98,2.6397058740258217,5.715841666096821
50,71.58,1.2841614778153598,4.239993144990876
