round,accuracy,training_time,round_time
1,10.209999999999999,0.9629053398966789,4.184785655932501
2,13.71,1.0907782919239253,4.132416623877361
3,10.040000000000001,1.005648315884173,4.096458334010094
4,10.18,0.8797209938056767,3.982961186207831
5,10.57,0.9293778361752629,3.9974495281931013
6,20.119999999999997,1.8039662099909037,4.801502250134945
7,19.830000000000002,1.2528186540585011,4.207518025068566
8,19.580000000000002,1.750989206135273,4.795668013161048
9,25.15,1.5547549449838698,4.613260135985911
10,29.26,1.6064697161782533,4.6619683229364455
11,26.08,1.8347011499572545,4.893144561909139
12,23.810000000000002,1.6598759039770812,5.1468751090578735
13,29.94,1.785897031892091,5.299487639917061
14,34.73,1.7998025468550622,4.831770488992333
15,27.11,1.8768077320419252,4.866176347015426
16,26.99,2.2841532251331955,5.369693108834326
17,38.25,1.47359832492657,4.540944197913632
18,29.099999999999998,2.212856749072671,5.222412938019261
19,40.06,1.7637691851705313,5.201341240899637
20,28.59,1.4063918478786945,4.912301553878933
21,45.64,0.8537020478397608,4.399725571041927
22,28.01,1.891751732910052,5.439615979092196
23,32.21,2.2231441310141236,5.270128642907366
24,50.06,1.8466944799292833,4.843203936936334
25,37.25,1.8589341479819268,4.946400147862732
26,43.8,1.2166228538844734,4.183362711919472
27,43.41,1.7225080078933388,4.690227400045842
28,26.21,2.4916417030617595,5.505734720965847
29,30.220000000000002,1.6819203230552375,4.656107051996514
30,48.58,2.141134335892275,5.186064575100318
31,51.27,1.7853489799890667,5.329607062973082
32,33.96,2.224265643162653,5.224684005836025
33,42.76,1.471495850943029,4.541897582123056
34,44.04,1.7242496369872242,4.7107724798843265
35,40.02,1.8971548250410706,4.864299208857119
36,29.13,1.2255990379489958,4.2305041931103915
37,39.42,1.0860576231498271,4.560784914065152
38,35.14,1.5154656891245395,4.996158991008997
39,34.410000000000004,2.103202238911763,5.098856887081638
40,43.56,2.827377358917147,5.873177389148623
41,38.940000000000005,1.982412404147908,5.021198916947469
42,39.23,1.8761951019987464,4.816970019135624
43,48.86,1.7045804890803993,4.673147908877581
44,49.99,1.85789042012766,4.918587360996753
45,36.370000000000005,2.0532702961936593,5.111435069935396
46,27.42,1.4923333991318941,4.543425014009699
47,44.21,1.141588340047747,4.676079503027722
48,47.53,1.6135353820864111,5.168090297142044
49,51.53,1.8938604157883674,4.951002696994692
50,49.58,1.1925660381093621,4.146955911070108
