round,accuracy,training_time,round_time
1,10.17,0.9490300999999999,2.801513700000001
2,12.629999999999999,0.5873155000000008,2.381697000000001
3,14.71,0.501927499999999,2.3371145999999996
4,15.61,0.7567951999999991,2.5545259000000016
5,16.42,0.6371636000000009,2.469739500000003
6,17.69,0.6097087000000023,2.444495100000001
7,18.81,0.8391960999999988,2.6381835000000002
8,18.970000000000002,0.5500286999999986,2.4038857
9,19.74,0.8672685999999992,2.7195908999999965
10,20.24,0.7766731999999976,2.6328618999999946
11,20.57,0.5861565000000013,2.4309688999999963
12,22.03,0.7244713999999988,2.5524096000000043
13,24.2,0.8303837000000058,2.6616360000000014
14,26.61,0.8616491000000011,2.7006517000000017
15,27.91,0.6445116999999954,2.468448600000002
16,31.869999999999997,0.7102761999999956,2.5419792
17,34.37,0.6319860999999989,2.490417100000002
18,36.83,0.8843715000000003,2.7352129000000005
19,39.35,0.5350178999999997,2.3624426000000014
20,43.22,0.742162399999998,2.5873880999999983
21,47.77,0.5591342999999966,2.4046770000000066
22,50.019999999999996,0.6070264000000023,2.4601551000000015
23,52.769999999999996,0.505250899999993,2.338465999999997
24,55.83,0.7978793000000053,2.6432510000000065
25,57.92,0.8644091000000031,2.7331928999999917
26,58.42,0.9509505000000047,2.7848055000000045
27,59.43000000000001,0.5705305999999979,2.40607829999999
28,58.60999999999999,0.6964956000000058,2.5363776999999885
29,59.0,0.5002978999999925,2.3284790999999956
30,56.88999999999999,0.6176458000000054,2.431978700000002
31,56.18,0.6239603000000074,2.473692
32,58.77,0.612519600000013,2.4164530999999982
33,61.14000000000001,0.8169773000000049,2.666361199999997
34,64.28,0.6580847000000034,2.465698599999996
35,68.57,0.6178925000000106,2.4705306999999976
36,74.9,0.6025513000000018,2.4196191000000056
37,76.52,0.6489626999999984,2.510540700000007
38,81.56,0.7878654999999952,2.6505325000000113
39,79.55,0.6234091000000035,2.5194880000000097
40,82.77,0.6777645000000092,2.532991200000012
41,81.81,0.713077300000009,2.536477599999998
42,84.04,0.769239099999993,2.6300219999999968
43,84.24000000000001,0.7078249999999997,2.5864787999999947
44,85.08,0.794184400000006,2.6606319999999926
45,86.21,0.7424249999999972,2.6411992000000026
46,84.59,0.7324482000000074,2.57926590000001
47,86.61,0.6163453000000061,2.4540034999999847
48,87.14,0.6974300999999912,2.613318399999997
49,88.3,0.6698870999999826,2.790715199999994
50,87.86,1.1350993000000074,3.4524045
