round,accuracy,training_time,round_time
1,42.059999999999995,0.11465689999999995,1.4503741999999988
2,58.85,0.09619840000000046,1.4479149000000007
3,67.15,0.09851559999999893,1.4302621000000002
4,68.05,0.09658839999999991,1.4395540999999987
5,73.68,0.14056959999999918,1.490455299999999
6,77.79,0.31158150000000084,1.6376924000000024
7,79.10000000000001,0.10057039999999873,1.4442933999999994
8,80.49,0.15085320000000024,1.471953899999999
9,81.02000000000001,0.11915030000000115,1.4462383999999986
10,81.81,0.09684490000000068,1.4231733999999996
11,82.50999999999999,0.0961837999999986,1.4579433999999978
12,82.69999999999999,0.09943479999999738,1.4407153000000008
13,82.34,0.09856160000000003,1.423456299999998
14,82.96,0.10388050000000248,1.424450199999999
15,83.53,0.15707880000000074,1.4772417000000004
16,83.69,0.12203380000000053,1.447569399999999
17,84.11,0.09408489999999858,1.4183364000000012
18,83.88,0.16336880000000065,1.5078801999999953
19,84.39,0.0970465000000047,1.4274093000000008
20,84.15,0.1271326999999971,1.471001600000001
21,83.57,0.14370850000000246,1.4657263
22,83.27,0.09945689999999985,1.4186525000000003
23,83.78999999999999,0.09429620000000227,1.4298913000000013
24,84.33,0.10638219999999876,1.445935200000001
25,84.67,0.09462369999999964,1.4184205999999975
26,84.44,0.16581000000000046,1.5096821000000062
27,85.42,0.15322069999999854,1.4799632000000003
28,85.79,0.12733360000000005,1.4627392999999955
29,85.71,0.09584350000000086,1.4343726999999973
30,85.3,0.1007875000000027,1.424255500000001
31,86.07000000000001,0.19937060000000173,1.5431472
32,85.66,0.09807409999999805,1.4130030000000033
33,85.72999999999999,0.09776639999999759,1.4363360000000043
34,85.98,0.1885912999999988,1.518641500000001
35,85.72,0.12473230000000513,1.4533470000000008
36,86.47,0.09706649999999684,1.4340209000000002
37,85.95,0.11167299999999614,1.4497473999999926
38,86.42999999999999,0.10834249999999912,1.431523999999996
39,86.18,0.1294967999999983,1.465374600000004
40,85.57000000000001,0.14139740000000245,1.4687503999999905
41,85.84,0.09688810000000103,1.438797000000008
42,86.17,0.09464649999999608,1.452180999999996
43,86.33,0.0977484000000004,1.4441640000000007
44,86.0,0.09548390000000495,1.438481799999991
45,86.11999999999999,0.19642170000000192,1.5121668999999969
46,86.22999999999999,0.09656550000001118,1.4235222000000078
47,85.89,0.10616760000000625,1.4474403999999907
48,85.82,0.12447329999999113,1.4479975999999937
49,86.4,0.11895820000000867,1.4672835000000077
50,85.76,0.09437709999998845,1.4196823000000052
