round,accuracy,training_time,round_time
1,10.0,6.304018115857616,19.661281161941588
2,10.0,6.259455255931243,20.21190666500479
3,10.0,6.457639276050031,19.60915521509014
4,10.0,5.788722384953871,17.22428539698012
5,10.0,6.142722189892083,17.809295958839357
6,10.0,5.979643487138674,17.299267252907157
7,11.459999999999999,6.284989349078387,19.803962111007422
8,10.0,6.421735509997234,18.528279583202675
9,14.19,6.054564867867157,17.24483330687508
10,13.81,5.931501057930291,17.961608699988574
11,15.73,6.018852544017136,18.037517265882343
12,16.86,6.236162804998457,17.986389009980485
13,18.39,6.4048825590871274,17.569742616964504
14,19.68,6.130359083181247,17.277540996903554
15,19.28,6.2685597580857575,18.820421236101538
16,19.89,6.0598484659567475,17.188115758821368
17,21.16,5.977466340176761,17.987444067839533
18,21.23,6.553177091060206,17.766944052185863
19,22.24,6.209226679056883,17.421520139090717
20,21.4,6.141841533128172,17.251915522152558
21,23.07,6.022089316044003,17.289861452998593
22,22.31,6.277970544993877,18.140817588893697
23,24.15,6.334638081025332,18.13778650481254
24,24.51,5.956620427081361,17.31587462197058
25,23.39,6.661263589048758,17.907433705870062
26,26.05,7.593457440845668,18.52100713714026
27,25.130000000000003,6.449569998076186,18.034344273852184
28,25.22,6.035988996038213,18.131936855847016
29,25.929999999999996,5.924846932059154,17.230379299027845
30,26.1,5.874471419956535,17.102475852007046
31,27.01,5.973772192141041,17.13065520580858
32,26.91,5.914121075998992,17.281092081218958
33,27.13,5.941356629831716,17.11675437609665
34,27.529999999999998,6.022890812018886,17.434201726922765
35,27.92,5.868821559008211,17.216574093094096
36,28.34,5.990130187943578,17.24846500600688
37,28.82,6.452978421933949,17.559403559193015
38,29.03,6.317372572841123,18.44101717090234
39,28.77,6.096277763135731,18.067129562143236
40,29.87,6.096729583106935,17.357180902035907
41,29.38,6.085979059105739,17.3610510379076
42,29.470000000000002,6.056260457960889,18.230776329990476
43,30.91,6.260828390950337,18.371474288171157
44,30.15,6.08339246083051,18.103907784214243
45,31.230000000000004,6.003767202142626,17.34985726699233
46,31.11,6.025935508077964,17.15137530490756
47,29.470000000000002,6.212973061949015,18.303469446953386
48,30.36,6.3119802149012685,17.630119243869558
49,31.819999999999997,6.359434738056734,17.661610651994124
50,31.7,5.936901081120595,17.227198612177745
