round,accuracy,training_time,round_time
1,18.95,1.6100554999999996,3.4747663999999983
2,23.95,1.0127310999999999,2.8387607000000017
3,26.55,1.1745645000000007,2.987227100000002
4,48.69,1.1735407000000002,2.9814006999999982
5,53.02,1.341959799999998,3.136010200000001
6,59.760000000000005,1.2200518000000002,3.0176067000000018
7,60.31999999999999,1.006937299999997,2.8489652999999997
8,61.39,1.3227083999999998,3.1638567000000037
9,66.06,1.2272174000000007,3.080361400000001
10,63.27,1.318456900000001,3.1630480000000034
11,68.94,1.0138232999999985,2.8546690999999953
12,69.57,1.3362490000000022,3.2190094999999985
13,67.47999999999999,1.1644745999999984,3.0421790000000044
14,70.94,1.303567600000001,3.132261299999996
15,70.73,1.2251270000000005,3.0219687999999962
16,71.7,1.1959356999999997,3.0298627000000025
17,70.08,1.4296348999999964,3.2450562000000005
18,72.53,1.6942942000000016,3.5334198999999913
19,72.74000000000001,1.4382201999999964,3.2705622999999946
20,73.48,1.0380267000000032,2.886353299999996
21,74.36,1.2320789999999988,3.0494079000000056
22,74.5,1.3488542999999993,3.187299600000003
23,75.42999999999999,1.364976900000002,3.152428300000011
24,75.51,1.2177307999999982,3.0393854000000005
25,75.64,1.375840199999999,3.2367215999999956
26,76.53,1.2525464,3.114591500000003
27,75.29,1.1270963000000052,2.965042199999999
28,76.71,1.289313000000007,3.1223865999999987
29,77.03999999999999,1.5032691000000113,3.3082893999999925
30,76.72,1.0709177999999895,2.9065331000000043
31,75.9,1.0579768999999999,2.904084900000001
32,78.02,1.5382762000000128,3.438005700000005
33,77.49000000000001,1.3491464000000093,3.183506500000007
34,79.14,1.079695799999996,2.9138208999999904
35,78.91,1.051888500000004,3.073836600000007
36,79.57,1.3404151999999954,3.210537500000001
37,79.36,0.9878360000000015,2.874596699999998
38,79.67999999999999,1.2308791000000099,3.193202800000009
39,79.64,1.0517163000000096,3.2811377000000164
40,80.47,1.4561512999999877,3.3465504000000124
41,79.11,2.2412370000000124,4.101548699999995
42,79.57,1.2295577999999807,3.0725041000000033
43,80.15,0.8536848999999904,2.7748000000000275
44,80.57,1.3486396000000127,3.2494200999999805
45,80.76,0.9393774999999778,2.9019496999999888
46,80.67,1.372182500000008,3.3176004999999975
47,81.07,1.2601159999999823,3.1796592999999973
48,80.15,1.0592061000000115,2.903339299999999
49,80.78999999999999,1.1411831000000063,2.974090999999987
50,81.86,1.2279638999999918,3.081303799999972
