round,accuracy,training_time,round_time,loss
1,10.09,1.8579375999999996,3.868478100000001,2.303237648010254
2,9.8,2.2300129999999996,4.437289700000001,2.3073956990242004
3,9.74,2.5585690999999997,5.648335400000001,2.6169477140903474
4,16.27,2.5010112999999983,4.791425400000001,2.1713834404945374
5,50.28,2.3857052000000003,4.959242700000001,1.8543776452541352
6,38.12,2.4333136999999994,5.1173906,2.0724056088924407
7,52.33,3.226569900000001,5.4489552,1.2759761849045754
8,57.120000000000005,2.636004199999995,5.1607059000000035,1.2776030334830284
9,69.53,2.393612299999994,4.698623699999999,0.8296731841564179
10,70.17,2.520226700000002,4.8249791,0.8154885610938072
11,78.86,3.127520600000004,5.6344363999999985,0.6969226741418243
12,80.25999999999999,2.1615309999999965,4.496859499999999,0.5924013676121831
13,85.06,1.8963304000000107,4.835480599999997,0.4604815977625549
14,83.86,2.722869899999992,4.957202199999998,0.5259532498195767
15,82.74000000000001,2.450848300000004,4.701106199999998,0.5445170908607543
16,86.04,1.8070374999999927,4.283872399999993,0.4107328773476183
17,89.91,2.5968270000000047,4.797214199999999,0.31017542198300363
18,84.92,2.281569900000008,4.5709454999999934,0.49392672232352197
19,90.53999999999999,2.442778599999997,5.252707399999991,0.32385235106339677
20,89.66,2.8661871000000048,5.4136089,0.3901420258753933
21,92.04,2.695053900000005,5.250506299999998,0.29924329444766046
22,92.9,3.019352600000005,5.262667300000004,0.27217841518329805
23,91.9,2.8275363999999996,5.103545299999993,0.29896897668164457
24,90.88000000000001,3.144541999999987,5.650447199999988,0.35750227742420976
25,90.27,3.001868600000023,5.236386500000009,0.3498095174180344
26,92.29,2.5660607000000084,5.1499741000000085,0.28321163278538736
27,92.17999999999999,1.9984761000000049,4.179773699999998,0.2842258592491271
28,92.55,2.518053999999978,4.707696499999997,0.28777855415886733
29,93.28999999999999,2.1421335,4.6604332,0.25463309860962907
30,93.15,2.2073543999999856,4.835479899999996,0.27353708358787115
31,92.83,2.0334623999999906,4.424121299999996,0.29102879486061284
32,91.21000000000001,1.6415093999999897,4.139284800000013,0.36862221056246197
33,93.07,2.3592754000000014,4.625315700000016,0.29007017299649307
34,92.58,1.6868599999999958,3.9305457000000104,0.313034464737575
35,91.56,2.558050399999985,4.865239600000024,0.3496074901405518
36,93.75,3.0423474000000112,5.273562499999997,0.2582208473840001
37,93.02,2.315575300000006,4.573780499999998,0.2998585879887105
38,93.41000000000001,1.8126154999999926,4.002516299999996,0.28891917796980127
39,93.56,2.107147999999995,4.2348479999999995,0.2804307407234592
40,94.03,1.6614346000000069,3.81947550000001,0.2618495793940383
41,94.49,1.716555800000009,3.835950199999985,0.24625425573402027
42,94.42,1.7054046999999741,3.8036262999999906,0.25913975913200377
43,94.16,1.777990299999999,4.133051999999992,0.2802343327106246
44,93.94,2.0585319999999854,4.896715099999994,0.2940714060610844
45,93.58,1.7585166000000072,3.908596700000004,0.30373044159385243
46,94.53,1.7620785000000012,3.9313928999999916,0.2489026670021258
47,94.76,1.7939321000000064,4.287780599999991,0.23927058409620827
48,94.73,1.6703725000000134,4.071396399999998,0.2438237514814068
49,94.75,2.1783009000000106,4.313695600000017,0.24429923073634427
50,94.55,1.9624797999999828,4.164417799999995,0.25919310720411887
