round,accuracy,training_time,round_time,loss
1,10.0,1.5705118999999996,3.662056700000001,7.269720990657806
2,10.0,1.4062953,3.585713600000002,4.32558725476265
3,7.6899999999999995,1.5553013999999994,3.7238579000000023,2.3482211780548097
4,9.92,1.4211068000000004,3.6027324000000007,3.0666429233551025
5,10.0,1.884897500000001,4.117350399999999,2.6091626799106598
6,31.04,1.7551744000000014,3.9424478,3.5832140815258025
7,19.79,1.6110006000000006,3.7722120999999973,4.482316137552261
8,22.689999999999998,1.9504738000000046,4.120978199999996,2.0709107542037963
9,26.11,1.675236599999998,3.8478303999999994,3.5510201036930082
10,21.21,1.8624784999999946,4.062663499999999,3.1674543023109436
11,24.98,2.364738299999999,4.534924799999999,3.120445166826248
12,18.37,1.410462299999999,3.5646659000000014,2.4004805958271027
13,19.5,2.2784658000000064,4.4667902999999995,2.406678720712662
14,22.16,1.3396788000000015,3.506985500000006,2.727887500524521
15,27.55,1.4366555999999946,3.581304799999998,3.506242208480835
16,28.68,2.3351564000000025,4.531198399999994,2.3054139369726183
17,33.81,1.14720650000001,3.441055300000002,1.834794760942459
18,34.55,1.715128000000007,3.8340867999999944,2.158178146481514
19,32.629999999999995,1.391970900000004,3.5678206999999986,1.7161025291681289
20,45.64,2.0015987999999965,4.145088700000002,1.598276070356369
21,49.830000000000005,2.140743100000009,4.3405384,1.6855468547344208
22,34.56,1.2563970000000069,3.462631899999991,2.2641146749258043
23,46.54,1.402337099999997,3.5892426000000057,2.0874140095710754
24,41.959999999999994,1.5223118999999912,3.6650816000000077,1.6177518874406815
25,49.09,1.3207890000000049,3.5044048999999973,1.4649184727668763
26,49.8,2.3370859999999993,4.495189100000005,1.1304356473684312
27,35.11,2.3169195999999914,4.500919600000003,2.4209697395563126
28,51.24999999999999,1.830592100000004,4.019402999999997,1.6785112524032593
29,46.93,1.8290956999999963,4.006084900000005,2.348860210776329
30,58.599999999999994,1.9418027999999907,4.0787387999999964,1.0655096799135209
31,30.020000000000003,1.7981306000000075,3.9892380000000003,2.462707175016403
32,52.410000000000004,1.225769299999996,3.4178071999999986,1.409036154448986
33,51.89,1.1507270999999832,3.339351899999997,1.5687688317894937
34,42.120000000000005,1.3084672999999896,3.4612506999999937,2.6164184367656707
35,53.28000000000001,1.6384001000000126,3.7678338000000053,1.3532050421833992
36,47.08,2.2476654000000167,4.423521499999993,1.4831399092078208
37,59.870000000000005,1.6537335999999812,3.823834199999993,1.2442282569408416
38,28.110000000000003,2.189852099999996,4.453621900000002,2.664590670466423
39,50.03999999999999,1.2229527000000076,3.3852153999999928,1.565307725071907
40,50.83,1.3913292999999953,3.549309099999988,1.532689614892006
41,58.63,1.2730612999999948,3.393127199999981,1.5144015014171601
42,43.45,1.3029908000000034,3.447259800000012,1.5841916117072106
43,55.279999999999994,2.2758255000000247,4.445324499999998,1.289693494439125
44,59.019999999999996,2.099678900000015,4.253096100000022,1.0680195778608321
45,62.4,1.2344501999999977,3.3725800999999933,0.9927685242891312
46,49.480000000000004,2.187460200000004,4.332967000000025,1.6188676309585572
47,53.290000000000006,1.404771299999993,3.5833518999999967,1.1812767174839973
48,44.25,1.9452653999999825,4.1123667999999896,1.7430946815013886
49,54.339999999999996,1.1900090000000034,3.3248470999999995,1.3497343155741692
50,54.09,1.6503384999999753,3.80370240000002,1.2888127553462982
51,57.809999999999995,2.3722973999999795,4.602600599999988,1.1445719996094703
52,45.519999999999996,1.357399700000002,3.5575641000000076,1.4667583575844765
53,61.550000000000004,1.2266218999999978,3.341755799999987,0.9297053104639054
54,37.26,1.519939700000009,3.7296597000000133,2.5255810022354126
55,61.14000000000001,1.2999188000000004,3.5844729000000086,1.1967124542593957
56,62.13999999999999,2.1401366999999993,4.400631599999997,1.0843531328439713
57,69.46,1.6066204000000255,3.843954800000006,0.769339538961649
58,46.19,2.882762299999996,5.136031700000018,1.6177239054441452
59,68.04,1.6342075000000023,3.9221014999999966,0.9007942785322666
60,56.42,2.057551499999988,4.296167400000002,1.1901959916949272
61,66.25,1.8641077999999993,4.030337500000002,0.8535079744458198
62,57.16,1.2014910000000043,3.5001980000000117,1.3481542411446572
63,63.080000000000005,1.6666845000000023,3.8161949999999933,1.3753380590677262
64,65.31,2.2119631999999854,4.422569399999986,1.0673431980609893
65,72.61,1.6601923999999713,3.858521499999995,0.7428189031779766
66,57.36,2.8615641000000096,4.990283500000032,1.1566572770476342
67,71.58,2.4657641000000012,4.684474199999954,0.7444147735834121
68,50.83,1.716525699999977,3.9455691,1.2368919497728348
69,53.87,1.4018731000000457,3.5595036999999934,1.8027863889932632
70,53.02,1.902685799999972,4.114251200000012,1.4189253854751587
71,68.08,1.5881532999999877,3.8790280000000052,0.8335851892828942
72,72.22,1.300399299999981,3.558394299999975,0.7452706292271614
73,70.54,1.828778199999988,4.065087500000004,0.7616276222467423
74,59.230000000000004,1.4622797999999761,3.6750573000000486,1.0877750289440156
75,58.79,1.363564399999973,3.6218369000000052,1.2385181185603142
76,66.47,1.9838447999999858,4.2055699,1.1283080819249154
77,69.21000000000001,1.2778733999999758,3.578428900000006,0.8677934229373931
78,54.37,1.408239100000003,3.7176321999999686,1.2590241566300393
79,55.35,2.3680755999999974,5.582421899999986,1.1700878894329072
80,58.309999999999995,1.881190800000013,4.193280399999992,1.18765498816967
