round,accuracy,training_time,round_time,loss
1,20.119999999999997,1.1949141999999995,3.286131599999999,2.3478719651699067
2,10.100000000000001,1.0232238999999996,3.1520598999999994,2.670522495508194
3,19.68,1.1085197999999998,3.1652959000000003,5.804237406253815
4,15.67,1.2511004999999997,3.424750500000002,7.007136628627777
5,11.35,0.9426634999999983,3.108193400000001,2.3017246997356415
6,11.35,0.9278510000000004,3.1058386999999996,2.305540614128113
7,11.35,0.6405346000000023,2.842628699999999,2.3110486268997192
8,13.270000000000001,0.5899246999999974,2.744106699999996,2.6334129118919374
9,9.82,0.8969422999999992,3.0848383000000013,3.150692378282547
10,20.21,1.3291614999999979,3.5278396,2.4410767436027525
11,10.280000000000001,1.773650900000007,3.9277716,3.3063532745838167
12,17.04,1.1993961999999954,3.385788599999998,4.020999907255173
13,9.82,0.8736774999999994,3.0752272000000005,3.206821802854538
14,8.92,1.5515022000000016,3.7544419000000033,2.3056168365478515
15,10.67,1.065997700000004,3.284778699999997,2.305804822444916
16,16.68,1.0724508999999998,3.2510923999999974,2.2880283403396606
17,16.77,0.9363802000000021,3.0844023999999948,2.577617243528366
18,22.15,0.9916400999999979,3.1653194999999954,3.6491990888118746
19,9.74,1.459380699999997,3.638661500000012,3.522244951725006
20,26.6,1.1728944000000041,3.412103600000009,2.4330906188488006
21,17.62,1.1933528999999936,3.4571220999999923,2.3538710403442384
22,34.589999999999996,1.2758677000000063,3.4574298,2.4325396531820296
23,11.62,1.4702527000000032,3.6849143999999967,3.6355827474594116
24,26.900000000000002,0.7683502000000004,2.947258099999999,2.4546372228860855
25,23.080000000000002,0.9382143999999926,3.1190155000000033,2.066178308725357
26,30.869999999999997,0.8101604000000009,2.9693692000000027,3.597519165277481
27,19.81,1.5647534999999948,3.793183099999993,2.7600595450401304
28,44.21,1.3002382000000097,3.4780990999999943,1.7535734814405441
29,42.35,1.2500734999999992,3.5168608999999975,1.6283987206220627
30,29.03,0.8615055000000069,3.0483223999999893,3.9298022878170014
31,39.190000000000005,0.8067537000000016,2.996330499999999,1.9273280549049376
32,54.190000000000005,0.9465160999999966,3.1556029999999993,1.6750959169864654
33,46.27,0.9044197999999994,3.1208407999999963,1.64214464366436
34,48.78,1.4269471000000067,3.5975666000000075,1.3985593006014825
35,28.689999999999998,1.388689400000004,3.601191799999995,3.3180367064476015
36,64.71000000000001,1.3477543000000054,3.527440800000008,1.0017794033885001
37,69.6,1.2144983999999965,3.478556700000013,1.0010315811634063
38,65.61,0.9957778999999789,3.1707271999999875,1.1877348700165749
39,74.99,0.9197611000000165,3.1077140000000156,0.6945410226285458
40,55.58,1.3313877999999875,3.581029299999983,2.120330757498741
41,81.71000000000001,1.0985743999999897,3.2489805999999817,0.5893466248363256
42,77.64999999999999,1.1010010999999906,3.244914300000005,0.7054860945045948
43,84.56,1.2543261000000143,3.4484872999999823,0.49090305238962173
44,79.66,1.73003700000001,3.9480750999999827,0.6302648377791047
45,74.26,1.6489241000000163,3.8211628999999903,0.9061198049783706
46,83.6,1.414510100000001,3.669042499999989,0.5237794611230493
47,81.28,1.2916707999999915,3.4758156999999983,0.5367945441603661
48,88.73,1.264532900000006,3.59488589999998,0.3692013568803668
49,79.99000000000001,0.6998997999999972,2.919755699999996,0.610404118411243
50,85.14,0.6657737000000168,2.8809200000000033,0.442871678750962
