round,accuracy,training_time,round_time,loss
1,9.8,1.995418599999999,4.0816476999999995,2.3068198919296266
2,10.280000000000001,1.9659077000000007,4.2467153,2.4468551337718965
3,10.100000000000001,2.0325913999999976,4.2820274000000005,3.6716844022274016
4,8.95,2.038003500000002,4.342470300000002,2.8317739295959474
5,13.19,1.9634150999999989,4.239376499999999,2.6332478964328767
6,10.92,2.1846570000000014,4.413656899999999,3.443093901872635
7,11.790000000000001,1.9455421000000044,4.2827068,10.713348245620727
8,13.55,1.8808112000000037,4.153362200000004,2.2966190612316133
9,9.82,1.9117541999999972,4.200010900000002,2.6512475848197936
10,9.56,1.8078049999999948,4.143179599999996,2.333552862405777
11,10.18,1.6754457999999985,4.026047599999998,2.540161249637604
12,10.66,1.9471075000000013,4.266407099999995,3.2419903326034545
13,18.85,2.1172307999999944,4.432683400000002,3.4496424746513368
14,22.28,1.9103530000000006,4.155248,2.075885075330734
15,18.63,1.9100790999999901,4.162067100000002,4.553398654460907
16,27.22,2.0220879000000025,4.323663400000001,2.1297934913635252
17,17.0,2.075554800000006,4.404557100000005,2.857627613544464
18,27.169999999999998,2.2757236000000063,4.584390000000013,3.605614093542099
19,32.57,1.9830055000000044,4.290995200000012,3.3559986889362334
20,42.91,2.425615899999997,5.040070499999999,1.7208390671014786
21,32.42,2.24057719999999,4.708415000000002,1.8133869421482087
22,49.2,1.79419630000001,4.411557400000007,1.951549169421196
23,51.41,2.0935640000000006,4.499867300000005,2.735450869202614
24,19.54,1.8252877999999981,4.321582599999999,6.3582736372947695
25,27.450000000000003,1.7593047999999953,4.031821100000002,2.151768929362297
26,38.269999999999996,1.9230826999999948,4.230512500000003,1.8004882389307022
27,29.909999999999997,2.148649700000007,4.384831399999996,3.15490997672081
28,34.55,1.9182749000000001,4.174787699999996,2.052792195081711
29,60.49,2.0003581999999938,4.269871899999998,1.278422669172287
30,43.94,1.893535500000013,4.1605069999999955,1.4597276449203491
31,53.64,1.8499510999999984,4.093548100000021,1.1585528770089148
32,67.13,1.9573646000000053,4.169725900000003,1.1212001188099385
33,59.9,1.862860999999981,4.150172400000002,1.965207989215851
34,74.36,1.8941684000000123,4.129684800000007,0.8873068158328533
35,67.94,2.014646499999998,4.273751500000003,1.0326420828700065
36,55.559999999999995,1.869753199999991,4.13737549999999,1.4569784963130952
37,74.92999999999999,1.9449631999999895,4.262961099999984,0.7965624148398638
38,74.25,1.9191015000000107,4.180553700000019,0.8509669554978609
39,65.9,2.3108249,4.761595399999976,1.821976633667946
40,65.12,1.9293532000000084,4.41885259999998,1.0666080515086651
41,73.72,2.5572184999999763,4.995644800000008,0.8889258973300457
42,63.71,2.2025779000000227,4.674260999999973,1.3272638550400735
43,51.49,2.764851099999987,5.151281300000022,2.203642608523369
44,69.53,1.9409847000000013,4.22241870000002,0.8907133661210537
45,66.64,2.239405199999993,4.8719185999999866,0.9194599108397961
46,78.31,2.0800127999999916,4.691008400000015,0.7046134991198778
47,58.84,1.8916856000000166,4.439358599999991,1.3893583166599273
48,58.650000000000006,2.0690569999999866,4.547689300000002,1.786773918569088
49,72.84,1.9506669999999815,4.335327299999989,0.827636262923479
50,60.199999999999996,2.2776323999999875,4.726308899999992,1.5457213461399077
51,54.47,2.3129841999999883,4.911076699999995,1.9294341349601745
52,65.46,2.3452431000000047,4.701211399999977,1.555557630509138
53,71.61,2.2345978000000173,4.566889599999996,0.8822733068466186
54,72.77,2.0634153000000026,4.515268800000001,0.9113856273889541
55,55.74,1.6578705999999954,3.9782719999999756,1.4717206376791
56,80.96,1.9408433999999772,4.2160497000000134,0.6251184024661779
57,79.49000000000001,2.0221468000000016,4.2479333,0.6484752871096134
58,79.25999999999999,1.8563775000000078,4.1153373000000215,0.6242503884993493
59,79.96,1.9437671000000023,4.237554400000022,0.6167993448674679
60,61.96,1.926333999999997,4.1977759000000106,1.4383639472723007
61,73.3,2.0133427000000097,4.243112600000018,1.3405336433649062
62,83.21,1.710392000000013,3.9701112000000194,0.5580608597770333
63,87.33999999999999,2.300619299999994,4.6556112999999755,0.42562375493347643
64,83.37,2.549352199999987,4.824624599999993,0.47089865259826186
65,81.78999999999999,1.9582649000000174,4.473900300000025,0.4996518765762448
66,83.49,1.9416688999999678,4.369332799999995,0.5274288910999894
67,87.61,1.8520346999999902,4.0887555000000475,0.43289886056445537
68,90.79,1.9288733999999863,4.184123399999976,0.32362912108656017
69,90.10000000000001,2.309466900000018,4.7111651000000165,0.3313830000394955
70,89.59,2.0022411999999576,4.561874700000033,0.35600123236421494
71,91.72,2.122945399999992,4.501497700000016,0.2895836045360193
72,92.42,1.921343400000012,4.390871600000025,0.2610690696490929
73,85.36,1.8774142000000325,4.203386399999999,0.4887329780124128
74,80.97,2.3564629000000537,4.920676599999979,0.6478969127684832
75,85.18,1.7831985000000259,4.493718999999999,0.5247119667753577
76,90.02,2.0293260999999916,4.266372599999954,0.3630521017411957
77,89.7,2.133338500000036,4.770702500000027,0.37201587595802266
78,92.01,2.1093205999999896,4.408582999999965,0.29252693219226783
79,91.49000000000001,1.8069198000000029,4.100431000000015,0.30991945051180664
80,91.03,1.9999234000000001,4.261142800000016,0.33609418861859014
