round,accuracy,training_time,round_time
1,50.19,0.20833058189600706,3.052168662659824
2,80.51,0.24173797760158777,2.752628831192851
3,82.28,0.24564896151423454,2.747081040404737
4,83.67999999999999,0.261516978032887,2.745231437496841
5,83.42,0.28623420745134354,2.739604967646301
6,84.3,0.24847812950611115,2.7812998984009027
7,83.65,0.31462481524795294,2.8028617734089494
8,86.09,0.25230669882148504,2.730892733670771
9,85.44,0.2605443838983774,2.7391885928809643
10,85.50999999999999,0.29805106669664383,2.753266136161983
11,85.19,0.2929133102297783,2.7633127123117447
12,85.88,0.34085247945040464,2.82561585213989
13,85.22,0.27815306186676025,2.7518717190250754
14,83.86,0.27102664578706026,2.838687819428742
15,86.18,0.2197187915444374,2.75922332983464
16,86.49,0.2416450558230281,2.721449686214328
17,84.81,0.2519396273419261,2.7164068957790732
18,85.28999999999999,0.2589894337579608,2.7354806819930673
19,85.7,0.20627089124172926,2.6934973541647196
20,85.92999999999999,0.265689542517066,2.741706377826631
21,83.73,0.2811408322304487,2.76251626573503
22,86.87,0.2541531128808856,2.768374972976744
23,85.39999999999999,0.20181730948388577,2.698713731020689
24,84.41,0.2483840575441718,2.745467124506831
25,84.99,0.2837762972339988,2.7453205715864897
26,85.5,0.2625547992065549,2.7166773611679673
27,85.33,0.19686924200505018,2.709985605441034
28,86.17,0.28027541283518076,2.77150818426162
29,85.61999999999999,0.26763408724218607,2.782405766658485
30,85.39,0.2561530461534858,2.756401740014553
31,84.71,0.19128097407519817,2.7206710129976273
32,85.9,0.2969112014397979,2.75812457408756
33,86.26,0.29234741907566786,2.7484725825488567
34,86.48,0.24440757930278778,2.816621843725443
35,85.96000000000001,0.23089356813579798,2.705158674158156
36,86.24000000000001,0.19794399291276932,2.717764633707702
37,86.04,0.2549191201105714,2.739034821279347
38,85.24000000000001,0.2733723195269704,2.7488654144108295
39,86.16,0.19894540403038263,2.7195089859887958
40,86.44,0.22255260311067104,2.7243257127702236
41,86.79,0.20154821500182152,2.7164260363206267
42,86.68,0.25188272073864937,2.7595972400158644
43,86.25,0.18640334717929363,2.674567020498216
44,86.87,0.22455675154924393,2.692292945459485
45,86.61,0.24215655587613583,2.6783360997214913
46,85.28,0.23765373416244984,2.6908710887655616
47,86.49,0.2285896372050047,2.7444359390065074
48,86.64,0.2005683947354555,2.692735742777586
49,87.13,0.19194810464978218,2.677489621564746
50,83.45,0.2759355688467622,2.706455777399242
