round,accuracy,training_time,round_time
1,56.89999999999999,0.32583698397502303,3.1193003689404577
2,59.13,0.37703263596631587,3.0085246260277927
3,62.370000000000005,0.3595925411209464,2.9613048571627587
4,64.18,0.42289028596132994,2.9934821990318596
5,64.13,0.34040777012705803,2.971214201999828
6,69.65,0.3011124001350254,2.883286474039778
7,71.41,0.3635408829431981,2.9391137121710926
8,69.85,0.35511172795668244,2.957001792965457
9,73.50999999999999,0.38418276282027364,2.9614916779100895
10,67.88,0.3678805560339242,2.914420871064067
11,72.72999999999999,0.2970144050195813,2.8687112100888044
12,75.53999999999999,0.3084847100544721,2.8809987150598317
13,76.61,0.2998246541246772,2.8771653149742633
14,76.03999999999999,0.36480512702837586,2.9304094871040434
15,77.96,0.289649193873629,2.8754081099759787
16,77.79,0.30523111391812563,2.894456333015114
17,78.36,0.3018003299366683,2.878397236112505
18,77.05,0.3160599928814918,2.888837862992659
19,75.33,0.31269102287478745,2.8849070200230926
20,74.72,0.31615264690481126,3.022783124819398
21,79.10000000000001,0.29585016798228025,2.8664757241494954
22,77.92,0.3782284981571138,2.94273290107958
23,78.86999999999999,0.290501635055989,2.8617803908418864
24,78.44,0.30833674781024456,2.8873560971114784
25,76.59,0.3046274590305984,2.8831654568202794
26,76.68,0.30604842700995505,2.885421154089272
27,76.79,0.2962508019991219,2.855973541038111
28,77.82,0.3023373039904982,2.86524004698731
29,78.47,0.2963279290124774,2.863113959087059
30,77.12,0.31467750505544245,2.8872023089788854
31,78.21000000000001,0.30925149796530604,2.8742082719691098
32,74.61,0.31016671610996127,2.864410129841417
33,75.57000000000001,0.3021526769734919,2.880997497122735
34,79.69000000000001,0.30294019216671586,2.865378038957715
35,79.66,0.28415412711910903,2.8767287770751864
36,80.16,0.34973433520644903,2.907272428041324
37,77.99000000000001,0.29294811515137553,2.8652891661040485
38,79.78,0.30698042595759034,2.94781076698564
39,79.59,0.3315099549945444,2.8998918309807777
40,75.26,0.3495887159369886,2.9358050788287073
41,79.56,0.2927671771030873,2.861201772931963
42,78.52,0.301867842907086,2.8645665810909122
43,78.01,0.3174884628970176,2.90145195601508
44,80.0,0.3184820970054716,2.9073657400440425
45,76.57000000000001,0.29754974506795406,2.8621342009864748
46,78.46,0.3016434370074421,2.8829658140894026
47,79.5,0.3165909762028605,2.9042181889526546
48,77.79,0.2992800569627434,2.87866539391689
49,78.73,0.30647218809463084,2.879484144039452
50,79.25999999999999,0.29625681904144585,2.8691943858284503
