round,accuracy,training_time,round_time
1,10.100000000000001,1.1383192000000015,3.0835053000000006
2,35.23,1.1622343999999991,3.2531610000000004
3,22.67,0.7096888999999997,2.8147488000000003
4,27.87,1.118370200000001,3.2629921999999993
5,29.79,0.6383019999999995,2.7526314999999997
6,34.25,1.2648446,3.4059886000000006
7,44.59,1.1189444000000002,3.254659199999999
8,34.96,0.7188902000000006,2.864797199999998
9,44.71,1.032249499999999,3.1725949
10,54.52,1.0833163,3.1978870000000015
11,63.65,0.7810211000000038,2.873789099999996
12,57.04,0.6934761000000051,2.8277841000000024
13,73.08,1.1588349999999963,3.2923649000000026
14,67.64,0.6566364999999976,2.7937458000000035
15,71.41,0.9544382999999996,3.095367500000002
16,63.22,1.1378684999999962,3.3121009000000043
17,60.28,0.7515809000000004,2.9565161000000018
18,63.370000000000005,1.1240518999999978,3.3272413999999984
19,83.53,1.127110800000004,3.235258799999997
20,73.07000000000001,0.7759920000000022,2.8968637999999913
21,75.41,0.7737790000000047,2.9175024999999977
22,84.44,1.1879392000000024,3.3094363000000016
23,83.03,1.0557758000000064,3.159879899999993
24,88.33,1.0154708999999968,3.152550000000005
25,93.34,1.2081446999999912,3.3071627000000063
26,93.69,0.7599249999999955,2.9133337999999895
27,90.56,1.0414935999999955,3.172023100000004
28,94.31,0.6965892999999994,2.8149304000000086
29,94.69,1.1422963999999922,3.3022014999999953
30,92.81,0.8353244999999987,2.965766500000001
31,92.83,1.085149599999994,3.2585332000000022
32,95.23,0.7106897000000032,2.8690831999999915
33,95.76,0.7432287999999971,2.888565099999994
34,96.23,1.5736473999999987,3.7416127999999986
35,95.99,1.2694972000000035,3.4096514000000013
36,96.24000000000001,0.6468050000000005,2.7754773999999998
37,96.12,1.578679500000007,3.7024928999999958
38,95.39999999999999,1.215826700000008,3.3212548999999996
39,95.24000000000001,0.7465387999999962,2.871499599999993
40,96.3,0.7607568999999899,2.916810099999992
41,96.13000000000001,1.171151000000009,3.3079039999999793
42,96.59,0.7704371000000094,2.911348199999992
43,96.56,0.7744466000000045,2.9248205999999755
44,96.59,0.9833762000000092,3.1427067000000193
45,96.63000000000001,0.8946547999999837,3.1123276000000146
46,96.56,1.2733629999999891,3.497683099999989
47,96.48,1.818208100000021,4.205772400000001
48,96.49,1.1728980000000035,3.578429199999988
49,96.48,1.0294575000000066,3.173858200000012
50,96.54,1.174262700000014,3.3747680000000173
