round,accuracy,training_time,round_time
1,54.800000000000004,1.6256669000000006,3.779883999999999
2,65.11,1.226292299999999,3.4530665999999997
3,70.37,2.4392078999999995,4.7210733000000005
4,77.07000000000001,1.1521477000000004,3.3715458
5,80.39,1.4765974000000028,3.790228499999998
6,80.66,1.408787499999999,3.8571521000000004
7,80.96,4.930850800000002,7.4107859999999945
8,81.91000000000001,2.2344533000000055,4.504419800000001
9,81.94,2.424311600000003,4.661098700000004
10,83.58,1.3609806000000049,3.6719567999999967
11,84.97,1.2182730999999976,3.4919450999999953
12,84.48,1.5473591000000013,3.791350999999999
13,85.31,2.574856799999999,4.797118200000007
14,83.84,2.409848199999999,4.671271300000001
15,85.94000000000001,3.251942900000003,5.542436599999988
16,83.16,1.6518768999999907,3.929243200000002
17,85.39,2.915110999999996,5.2028205999999955
18,85.22,1.4783941999999968,3.8190767999999906
19,86.53,1.512917999999999,3.7985757000000007
20,86.11,1.2883575999999977,3.5318974999999995
21,86.83,2.4987289000000033,4.8541709
22,86.71,2.2260808000000054,4.493404600000005
23,86.55000000000001,2.539991299999997,4.853840599999998
24,85.64,2.202204100000003,4.492828200000005
25,86.88,2.324944099999996,4.6325894000000005
26,86.22,2.092699499999995,4.3606875999999914
27,85.92999999999999,2.4706706999999994,4.797922700000001
28,87.03999999999999,3.5118248999999935,5.822606100000002
29,87.1,1.280270999999999,3.551389599999993
30,87.27000000000001,1.0732744000000025,3.395179000000013
31,87.08,2.6138919999999928,4.891730999999993
32,87.24,2.578979700000019,4.830807399999998
33,87.59,2.5227842999999837,4.764973600000019
34,85.97,1.4896433000000115,3.7646479
35,87.02,2.2079126000000144,4.495049800000004
36,86.57000000000001,2.5541239000000076,4.7994792000000075
37,87.59,2.519282199999992,4.796298500000006
38,86.97,1.7760401999999829,4.041458599999999
39,86.46000000000001,1.4629440000000216,3.719433400000014
40,85.53,2.5893237999999883,4.893390199999999
41,87.38,2.535781700000001,4.834846700000014
42,86.9,2.8693679000000145,5.172285099999982
43,86.53999999999999,2.6555190999999922,4.9500903999999935
44,86.72,1.6415460000000053,3.8921977000000254
45,87.03,2.558447199999989,4.826499100000007
46,86.1,2.6500329000000136,4.9074411
47,86.74,2.797208299999994,5.041266399999984
48,85.38,4.006030099999975,6.2522473999999875
49,87.58,2.3028160999999727,4.545200700000009
50,87.62,2.6359378999999876,4.905656099999987
