round,accuracy,training_time,round_time
1,68.5,2.3759767000000007,4.3901351
2,86.65,3.016560799999999,5.272923200000001
3,94.54,2.5521739999999973,4.877807300000001
4,95.72,1.5518207000000004,3.7629833999999995
5,95.62,2.1886820999999976,4.472157299999999
6,96.38,1.2377674999999968,3.4443345000000036
7,97.09,2.9317311000000004,5.1780598
8,97.1,2.398992900000003,4.6468062
9,97.21,1.323462400000004,3.5581424000000013
10,97.58,1.0917521000000008,3.342201200000005
11,96.8,1.4046424000000002,3.599404899999996
12,97.67,2.394529299999995,4.593470799999999
13,97.82,2.8325049000000035,5.059813400000003
14,98.00999999999999,2.4169523999999996,4.701942400000007
