round,accuracy,training_time,round_time
1,72.32,0.08963050000000017,1.4831974999999993
2,81.10000000000001,0.13932119999999948,1.4860044000000006
3,84.89,0.09091629999999995,1.4238067999999995
4,85.99,0.12088690000000035,1.4894675
5,84.39,0.09173260000000028,1.4315566000000004
6,78.95,0.12044099999999958,1.4507270000000005
7,85.48,0.13806559999999735,1.4470738999999995
8,84.23,0.08931370000000172,1.4066332000000017
9,86.33,0.11979900000000043,1.4751605000000012
10,86.82,0.08893970000000095,1.4338090000000001
11,86.18,0.08777239999999864,1.4147137
12,87.32,0.09996059999999929,1.4145757000000003
13,86.8,0.08908200000000122,1.4163929999999993
14,86.36,0.11878670000000113,1.4397237000000018
15,86.78,0.13192909999999713,1.4563680999999988
16,86.7,0.09306409999999943,1.4175378999999992
17,87.89,0.12184609999999907,1.4557396999999952
18,87.05000000000001,0.08955160000000006,1.4299032000000054
19,87.22,0.09808879999999931,1.429002599999997
20,87.74,0.08885180000000048,1.4149543999999992
21,85.28999999999999,0.11726659999999356,1.4390937000000008
22,84.99,0.08770690000000059,1.4155403000000035
23,87.22999999999999,0.09301819999999594,1.4226557
24,87.1,0.12156870000000453,1.4471868000000043
25,84.52,0.09085379999999788,1.4446878999999981
26,86.08,0.09256390000000181,1.434059100000006
27,87.19,0.08880549999999943,1.4130303999999967
28,86.28,0.13459070000000395,1.454155
29,87.62,0.12199070000000489,1.455507500000003
30,87.86,0.08871590000000396,1.4166369000000003
31,87.81,0.12151950000000511,1.4373070999999982
32,87.59,0.08796739999999659,1.4195285999999996
33,87.48,0.08827199999999635,1.415189699999999
34,88.14999999999999,0.09177609999999703,1.4163716999999991
35,87.99,0.12907230000000425,1.4584005999999974
36,87.48,0.09689570000000458,1.4331834999999984
37,87.24,0.0888188999999997,1.4217619
38,87.19,0.08960069999999831,1.4260786000000039
39,86.35000000000001,0.0899860999999973,1.4264517000000012
40,87.28,0.09525210000000328,1.4227795999999984
41,88.03,0.1314358999999996,1.4686495000000122
42,86.47,0.1191971999999879,1.4523617999999914
43,88.03999999999999,0.12135360000000617,1.4423708000000062
44,88.09,0.08959649999999897,1.4246040000000022
45,87.91,0.08986880000000497,1.424094299999993
46,87.48,0.08703710000000342,1.4161804000000018
47,85.53,0.0896847000000065,1.415956499999993
48,87.91,0.0887618999999944,1.4196010000000001
49,86.24000000000001,0.11870930000000612,1.4492547999999914
50,87.64,0.09566579999999192,1.4187821999999954
