round,accuracy,training_time,round_time
1,10.0,5.543237056117505,19.06819196185097
2,10.0,5.922487327130511,17.985538996057585
3,10.0,5.601031551137567,18.44853842910379
4,10.0,5.530156273161992,17.7313748029992
5,16.24,5.502553703030571,17.596220389008522
6,19.89,5.651978956069797,17.839988616062328
7,19.82,5.389068215154111,17.526887804968283
8,18.6,5.435421802103519,18.516867744969204
9,19.54,5.661771344952285,16.762587775941938
10,21.54,5.586813134839758,17.256644597044215
11,22.53,5.705226576188579,17.676098620984703
12,23.48,5.534454852109775,18.533854948123917
13,27.11,5.645730303134769,16.976623218972236
14,24.169999999999998,5.460481517016888,16.79339311691001
15,26.400000000000002,5.449946049135178,17.280314857140183
16,26.590000000000003,5.273309427080676,16.323872617911547
17,27.68,5.600653692148626,17.35911957384087
18,26.63,5.2783598359674215,16.519551513018087
19,28.84,5.449139900971204,16.58737924718298
20,27.58,5.510333822108805,17.43069171300158
21,27.439999999999998,5.586859985953197,17.56385204102844
22,30.380000000000003,5.467609795043245,17.574245007010177
23,31.080000000000002,5.478637866908684,17.595267429947853
24,31.86,5.753441582899541,17.592153786914423
25,32.4,5.382605904946104,17.436265875119716
26,32.34,5.283742486964911,17.660793880932033
27,32.14,5.737878475803882,17.667724361876026
28,32.56,5.875412967056036,17.055245173862204
29,33.54,5.702470395015553,17.68877240899019
30,33.2,5.7733703050762415,17.526624566875398
31,32.800000000000004,5.430401494028047,17.39265604899265
32,32.99,5.626383543014526,17.74405519105494
33,34.42,5.681059977971017,17.622532691806555
34,35.03,5.775762889999896,17.859702988062054
35,34.55,5.646835200954229,17.700126971118152
36,33.61,5.4464323739521205,17.47651827405207
37,34.56,6.000826572999358,17.590253291884437
38,35.07,5.582681812113151,16.62713986285962
39,34.43,5.409483070019633,16.56063776696101
40,34.79,5.516915621934459,16.789028813131154
41,36.86,5.569073524093255,16.63582297693938
42,35.699999999999996,6.036833862075582,17.107763555133715
43,36.66,5.519416385097429,16.75956878112629
44,35.14,5.429829908069223,16.59214313700795
45,36.02,5.669910674914718,17.283191846916452
46,37.28,5.756451861001551,17.84686043392867
47,36.85,5.362396199954674,17.48984448891133
48,37.89,5.790642573963851,17.42709577898495
49,37.89,5.601283833151683,17.708825352136046
50,37.76,5.554619660135359,16.72224232601002
