round,accuracy,training_time,round_time
1,10.01,6.0489414690528065,20.65253721503541
2,10.040000000000001,6.279347261879593,20.308418655069545
3,18.16,6.224373712902889,19.73704765806906
4,17.8,5.95397093007341,18.88621965702623
5,20.75,6.371425633085892,20.275567511096597
6,21.759999999999998,6.067902451148257,17.310241559986025
7,21.69,6.366034979000688,18.655053271213546
8,19.78,6.169368148082867,18.163585321977735
9,21.8,6.34020069707185,18.20295647205785
10,23.200000000000003,6.285382700851187,17.688639578875154
11,23.22,6.477493138052523,17.91383364610374
12,23.46,6.218390641966835,17.33320066309534
13,23.150000000000002,6.02749118488282,17.234489901922643
14,25.56,6.144876007223502,17.24124556197785
15,25.46,6.137247925857082,17.598209021845832
16,25.25,6.01937823696062,17.318102665944025
17,25.900000000000002,6.375431980937719,17.538257519947365
18,28.22,5.940913911908865,17.236786168068647
19,28.37,6.350720006972551,18.081586092943326
20,29.13,6.055764914024621,17.4214825630188
21,28.88,6.074675968848169,17.994370196945965
22,28.74,6.255595807917416,17.56912891403772
23,29.409999999999997,6.359707605093718,17.675118184881285
24,30.48,6.214070847025141,17.376593778841197
25,29.520000000000003,6.3850829200819135,17.18284451891668
26,30.95,5.812670653918758,17.904223065124825
27,30.349999999999998,6.105085070012137,18.190092012984678
28,31.240000000000002,6.022814673837274,18.080369638977572
29,31.09,6.088480239966884,17.27235137205571
30,31.81,6.0909695599693805,17.393962434027344
31,31.15,6.198757024016231,18.306809557136148
32,31.900000000000002,6.039830293972045,17.105478136101738
33,33.42,5.981559169013053,17.16855816100724
34,32.07,6.131365450099111,17.318339268909767
35,32.0,5.902986155822873,17.61565226316452
36,33.01,6.225324865197763,18.1589069229085
37,33.08,5.8976535990368575,18.05360814090818
38,34.0,6.161700716940686,18.10363824106753
39,33.61,6.039535333868116,18.088682937901467
40,34.260000000000005,6.114779547089711,18.248359063873067
41,33.989999999999995,6.4852640919853,18.56707377685234
42,33.72,6.242111049126834,17.6753400771413
43,33.93,6.2739556829910725,17.432839741930366
44,33.72,6.166937991976738,18.292841106886044
45,34.25,6.191252851160243,18.3897050160449
46,34.97,6.587203596020117,17.946907832985744
47,34.75,6.213120375061408,17.71106170793064
48,34.73,5.970743597019464,18.13358016591519
49,35.0,6.233216649154201,18.36825597193092
50,34.77,6.337379690958187,17.49947651103139
