round,accuracy,training_time,round_time
1,10.0,1.4111694961320609,4.694610453210771
2,19.03,1.5268377840984613,4.621840544976294
3,51.1,1.4755170070566237,4.654955161968246
4,56.720000000000006,1.0841194540262222,4.194616735912859
5,58.45,1.0743485679849982,4.1480264810379595
6,63.94,1.0151984691619873,4.195336843142286
7,63.019999999999996,2.1098189631011337,5.239326133159921
8,64.14999999999999,1.940555902896449,4.9987376388162374
9,66.66,1.7348648281767964,4.838605468859896
10,66.99000000000001,1.245016201864928,4.284642351092771
11,68.12,2.0112796798348427,5.067115854006261
12,69.92,1.485019963933155,4.623956620926037
13,68.19,2.9750502849929035,6.11030762991868
14,68.27,1.3069341408554465,4.420156298903748
15,70.21,2.5038429589476436,5.627654365962371
16,71.41999999999999,2.3503780199680477,5.5631893570534885
17,74.05000000000001,1.6281219851225615,4.748271055985242
18,71.87,1.740381769835949,4.826676840893924
19,73.65,2.3495963169261813,5.566715374123305
20,74.52,1.3920657150447369,4.515696401009336
21,73.11999999999999,2.745696166995913,5.771347634959966
22,73.83,1.5739350670482963,4.6733370600268245
23,76.01,1.252500741975382,4.432080267928541
24,75.26,1.564780869986862,4.659414143068716
25,75.74,1.5427197290118784,4.676986194914207
26,74.14,1.6212176370900124,4.713029021862894
27,75.53,2.522728757932782,5.638638600939885
28,76.42999999999999,2.028786343988031,4.974923013942316
29,75.99000000000001,1.4932033189106733,4.660431579919532
30,77.09,1.6930508308578283,4.805004326160997
31,77.97,1.8009548478294164,5.417421351186931
32,77.12,2.430712999077514,5.756720897043124
33,77.60000000000001,2.164041881915182,5.162490883143619
34,77.11,1.63362350105308,4.651008450193331
35,76.57000000000001,1.7722681588493288,5.2966579999774694
36,77.07000000000001,2.25917802285403,5.831403836840764
37,77.05,2.3844253830611706,5.996317155892029
38,77.23,1.3372192999813706,4.469546492910013
39,76.64999999999999,2.33700237586163,5.462075551040471
40,77.28,2.407331913942471,5.990702319191769
41,79.28,1.4895669459365308,4.546910353936255
42,79.66,2.250215285923332,5.41338952886872
43,78.61,2.3293095040135086,5.352113649016246
44,79.69000000000001,2.2303720449563116,5.396094099152833
45,78.24,2.1661726247984916,5.326899325009435
46,78.66,1.7072554919868708,4.716594247147441
47,77.83,1.9846360229421407,5.090894893044606
48,79.14,1.9825022998265922,5.152780974982306
49,78.95,1.6161293180193752,4.60186831979081
50,79.3,1.7171041509136558,4.85695474781096
