round,accuracy,training_time,round_time
1,11.459999999999999,1.2390855851117522,4.455794632900506
2,19.35,0.9349040391389281,3.963797071017325
3,26.119999999999997,1.6025116092059761,4.607796519994736
4,44.269999999999996,1.716170375002548,4.755025890888646
5,48.5,0.9429166328627616,4.491248595062643
6,48.58,1.2068463449832052,4.27720267791301
7,53.86,2.0446647610515356,5.033137554069981
8,63.61,1.9456642928998917,5.507366254227236
9,62.74999999999999,1.5656931679695845,4.6800554329529405
10,63.29,1.6620028868783265,5.204570069210604
11,60.46,1.1664069790858775,4.727981736883521
12,57.76,1.3699242630973458,4.415997931966558
13,61.68,1.766945072915405,4.819721857085824
14,60.56,1.7578633981756866,4.874502471182495
15,72.17,1.5100302188657224,4.543711463920772
16,71.87,1.9918783910106868,4.9703409189824015
17,71.92,1.7442059139721096,5.227586627937853
18,69.25,2.08325562113896,5.232013066066429
19,63.43,2.133971749106422,5.198411196004599
20,71.37,2.326265994925052,5.326927084010094
21,73.04,1.749871817883104,4.7900395761244
22,67.63,1.6983187608420849,4.71414861199446
23,74.89,1.00981803284958,4.1158354710787535
24,69.05,1.8898382969200611,4.764647187199444
25,72.8,2.1397150501143187,5.37126251985319
26,75.0,1.098832193063572,4.195047814864665
27,77.39,2.3069377578794956,5.377601017942652
28,70.07,1.722637593979016,4.782136410009116
29,76.01,2.0138710839673877,4.942702889908105
30,74.69,1.7097873089369386,4.694187860004604
31,78.60000000000001,1.8683812590315938,4.882036725059152
32,71.69,1.522802955005318,4.581590394023806
33,77.45,1.287544421153143,4.861448273994029
34,77.53,1.8431021820288152,4.920041691977531
35,80.31,2.6078493879176676,5.7243438919540495
36,76.5,2.0153474109247327,5.020690631121397
37,74.49,1.7991525819525123,4.828879595035687
38,77.11,2.378912361105904,5.315160063095391
39,81.36,1.8147534490562975,4.839462016010657
40,81.19,1.3064430998638272,4.3638224569149315
41,81.8,2.7640784110408276,5.799716974142939
42,75.98,1.736578196985647,4.814364206977189
43,80.73,1.9177669209893793,4.900668265065178
44,81.0,1.4761686190031469,4.467173072975129
45,79.45,2.16811616695486,5.169220617972314
46,79.23,1.6106429700739682,4.64533732784912
47,80.21000000000001,1.8020460100378841,4.867516512051225
48,82.54,2.0003435879480094,5.075420391978696
49,81.57,2.12496804096736,5.184308022027835
50,81.25,2.250123241916299,5.331594518851489
