round,accuracy,training_time,round_time
1,10.65,1.1461335020139813,4.46183696994558
2,10.209999999999999,1.1291573338676244,4.269884998910129
3,14.71,1.0649704220704734,4.23160192812793
4,23.29,1.3621523049660027,4.564243906876072
5,23.04,1.3200965011492372,4.509473423007876
6,26.35,1.808568269945681,4.9636829840019345
7,29.29,1.1851240319665521,4.359633408021182
8,36.15,1.517051582923159,4.691654589027166
9,32.71,1.6647625530604273,4.82787412405014
10,26.640000000000004,1.2944264309480786,4.486232965020463
11,41.3,1.398683917010203,4.579462809953839
12,41.33,1.6820261490065604,4.796352753881365
13,30.85,1.4854096060153097,4.588238527067006
14,28.88,1.794155664043501,4.952825823100284
15,41.04,2.2179644040297717,5.267841089051217
16,29.48,1.5595906539820135,4.698362251045182
17,37.76,2.367953432025388,5.547745252028108
18,29.78,1.6557829100638628,4.905003600055352
19,38.190000000000005,1.7713177190162241,5.356669415952638
20,39.32,1.7242314231116325,4.905370742082596
21,43.25,1.317932388978079,4.384875888004899
22,48.61,1.9334596008993685,5.029491265071556
23,32.32,1.681531225098297,4.762983366847038
24,32.08,2.163488778984174,5.26181039121002
25,40.77,1.3827598860953003,4.539571983972564
26,36.08,2.297134932130575,5.324355026939884
27,39.269999999999996,2.268651132006198,5.451645585941151
28,49.32,1.9058342981152236,5.09385967021808
29,37.89,1.3816646100021899,4.4555236080195755
30,45.29,1.6987223869655281,5.2167207731399685
31,54.09,2.415627785027027,6.003355617169291
32,50.760000000000005,1.3367109529208392,4.943768488010392
33,35.43,2.1698598901275545,5.6399139270652086
34,43.59,2.0517554110847414,5.64786950009875
35,52.480000000000004,2.0126565920654684,5.2218034360557795
36,52.629999999999995,2.36077655502595,5.556083005852997
37,41.89,1.6174977668561041,4.713563109980896
38,50.72,2.3929716639686376,5.51279942994006
39,52.42,2.103950315155089,5.214932635892183
40,31.019999999999996,1.7544351790565997,4.938122934894636
41,34.37,1.2235937209334224,4.396336928009987
42,43.59,1.5380482799373567,4.714951585046947
43,45.43,2.410272064851597,5.457195238908753
44,55.96,1.67847536993213,4.658943231217563
45,51.22,1.396906967042014,4.585597201017663
46,36.919999999999995,1.5586511129513383,4.621010467177257
47,46.150000000000006,1.0082998790312558,4.178865812951699
48,57.99999999999999,1.4984166300855577,4.6335948798805475
49,52.339999999999996,2.9995545470155776,6.127102317055687
50,55.02,2.2206571178976446,5.263568826019764
