round,accuracy,training_time,round_time
1,10.05,1.7056717230007052,4.984302559867501
2,20.11,1.6703694718889892,4.661229300079867
3,53.97,1.5470630291383713,4.587355857016519
4,34.83,0.9200953938998282,3.9234537438023835
5,44.47,2.21448339195922,5.164664388867095
6,43.28,1.2900512909982353,4.314516663085669
7,43.269999999999996,1.6657263478264213,4.629127735970542
8,45.79,1.1158627269323915,4.1820992468856275
9,40.300000000000004,1.6395006328821182,4.668983774958178
10,46.44,1.369256226811558,4.360811623977497
11,36.3,1.3070279939565808,4.365944212069735
12,44.98,1.2187793219927698,4.232386860065162
13,50.41,2.2166912630200386,5.235445639118552
14,49.47,1.761120259994641,4.775416577002034
15,54.44,1.8352158819325268,4.876437167869881
16,58.42,2.0879548089578748,5.091379916993901
17,47.370000000000005,2.0669340970925987,5.121504873037338
18,42.27,2.2439387950580567,5.243425649125129
19,47.46,2.669519769027829,5.775274308864027
20,59.050000000000004,1.5005271460395306,4.541359698865563
21,60.24,1.1558227618224919,4.105316037079319
22,47.79,2.1280350529123098,5.180448021972552
23,48.559999999999995,1.890231610974297,4.8897182871587574
24,50.23,2.1168118361383677,4.990700663998723
25,57.230000000000004,1.752885899040848,4.809052415890619
26,61.89,1.7846105189528316,4.859669944038615
27,64.4,1.660243340069428,4.741481545846909
28,62.89,1.6112281139940023,5.14339305809699
29,52.690000000000005,2.2414388230536133,5.173534157918766
30,63.21,1.8539179631043226,4.8784675758797675
31,47.97,1.3714989488944411,4.421138918027282
32,66.08000000000001,2.1182282739318907,5.122735116165131
33,59.099999999999994,1.6030722882132977,4.646334601799026
34,61.6,1.1179083250463009,4.165759113850072
35,59.830000000000005,2.2946308720856905,5.71211971482262
36,53.92,1.9304738498758525,4.9620419221464545
37,55.47,2.4384224489331245,5.444589679129422
38,57.17,1.92425827216357,4.949639221187681
39,68.47999999999999,2.3128574911970645,5.351979549974203
40,64.22,1.9042191510088742,4.8763193199411035
41,54.59,2.224183921003714,5.122571962885559
42,65.91,1.5681974932085723,4.625779630150646
43,58.209999999999994,1.9382065050303936,4.993197262054309
44,55.169999999999995,1.4164027301594615,4.471717177890241
45,63.580000000000005,1.6328676850534976,4.68438144098036
46,68.10000000000001,1.294071912067011,4.291197442915291
47,68.2,1.1005876020062715,4.149172679055482
48,63.51,1.4471140559762716,4.551955781877041
49,48.11,2.713538137031719,5.7006436919327825
50,53.86,1.6456793160177767,4.6602784369606525
