round,accuracy,training_time,round_time
1,70.53,0.36061680992133915,2.942747188033536
2,72.88,0.41015749517828226,2.85445094993338
3,77.45,0.46274741902016103,2.8985633119009435
4,75.94999999999999,0.3074023660738021,2.793581647099927
5,76.05,0.31546822283416986,2.806107009993866
6,75.94,0.38415483804419637,2.84175598109141
7,77.9,0.32509502791799605,2.8236910190898925
8,79.11,0.3568639650475234,2.784863391891122
9,78.33,0.36203768104314804,2.801286333007738
10,75.22999999999999,0.39558749995194376,2.861145597882569
11,78.46,0.30779551598243415,2.9647403790149838
12,79.44,0.3772439588792622,2.818664365913719
13,79.36999999999999,0.3171577691100538,2.7659200858324766
14,79.35,0.3757900148630142,2.810396085958928
15,79.41,0.29208602104336023,2.7505539590492845
16,78.17,0.3013146030716598,2.772160914959386
17,78.34,0.3330335330683738,2.7808798169717193
18,79.22,0.3288930058479309,2.7658488270826638
19,76.81,0.36922644986771047,2.7863002098165452
20,78.95,0.2994320229627192,2.737377558136359
21,79.24,0.2937919569667429,2.8281685751862824
22,79.62,0.2946038080845028,2.7463109858799726
23,78.28,0.3769363749306649,2.8191643229220062
24,80.4,0.35663583991117775,2.7837297471705824
25,77.18,0.3395985239185393,2.797618654090911
26,75.77000000000001,0.3054350770544261,2.732075073989108
27,80.04,0.2950565528590232,3.1812411029823124
28,79.29,0.29921893309801817,2.733291937969625
29,80.10000000000001,0.29679772700183094,2.729899232974276
30,78.64,0.30248473095707595,2.7378618009388447
31,77.33,0.35931014618836343,2.762855198001489
32,78.32000000000001,0.3083173059858382,2.745910579105839
33,78.25999999999999,0.2942021389026195,2.7562905128579587
34,78.52,0.28676680382341146,2.7511817670892924
35,78.94,0.2882025809958577,2.751271126093343
36,78.61,0.3225765130482614,3.2237205400597304
37,78.99000000000001,0.30012935819104314,2.7402568268589675
38,78.49000000000001,0.3642169239465147,2.823859276017174
39,79.3,0.3896704229991883,2.8283728209789842
40,79.13,0.34531356394290924,3.230194841977209
41,79.08,0.3517449679784477,2.860529508907348
42,79.06,0.30678177694790065,2.7434505040291697
43,79.01,0.30684618814848363,2.7539042411372066
44,79.31,0.34919338393956423,2.7883321051485837
45,78.43,0.3267527169082314,2.7561238820198923
46,78.89,0.3017331548035145,2.759711846942082
47,78.49000000000001,0.3418280959594995,2.79421937209554
48,78.57,0.3373509340453893,2.773729964857921
49,79.82000000000001,0.3051412340719253,2.7508350647985935
50,78.81,0.33069864893332124,2.7652038719970733
