round,accuracy,training_time,round_time
1,13.65,1.3250167411752045,4.518131799995899
2,14.6,1.2343923600856215,4.330829900922254
3,18.01,0.9770551780238748,4.036542798159644
4,20.150000000000002,0.8986890888772905,4.425156504847109
5,20.73,2.0705089189577848,5.64116946188733
6,25.779999999999998,1.0997769050300121,4.654987866990268
7,28.28,1.5216658459976315,4.634235640987754
8,19.32,1.5888944829348475,5.149839146062732
9,29.439999999999998,1.8769475759472698,4.942888373043388
10,35.47,1.4829507428221405,4.5306745721027255
11,40.68,1.5247887570876628,4.600729000987485
12,30.14,1.7039975859224796,4.72593954205513
13,25.580000000000002,1.8738455621059984,5.3059141838457435
14,42.970000000000006,2.569688829127699,6.203733707079664
15,57.36,1.5960244450252503,5.172657893970609
16,44.22,1.4390298679936677,4.540426213061437
17,28.21,1.870560184121132,4.913988491054624
18,50.49,2.0678870051633567,5.094257696997374
19,41.730000000000004,2.2693805899471045,5.344277112977579
20,45.37,1.5624548960477114,4.603267060127109
21,26.369999999999997,1.6653920670505613,4.647620064904913
22,36.36,1.9595405629370362,4.992027828935534
23,32.690000000000005,2.2702727338764817,5.708784404210746
24,48.93,2.7275803291704506,5.775499124778435
25,32.550000000000004,2.066937770927325,5.117393247084692
26,53.010000000000005,1.542281619971618,4.649820025078952
27,46.29,2.154829272069037,5.223477356135845
28,42.02,1.6176525708287954,4.691475683124736
29,39.6,1.458476617000997,4.493223455036059
30,48.35,1.4691757820546627,4.520986723015085
31,43.99,2.0226847981102765,5.338007598882541
32,37.66,2.162070808932185,5.740627662045881
33,54.82,2.094155949074775,5.696194095071405
34,54.11,2.7424916380550712,5.811683828942478
35,60.480000000000004,1.5151686139870435,4.970705781131983
36,62.129999999999995,1.9891793220303953,5.2059084149077535
37,49.88,2.337154390057549,5.31759020104073
38,57.099999999999994,2.2696420648135245,5.3432006009388715
39,47.39,1.3582534920424223,4.382629336090758
40,49.19,1.5931027529295534,5.058107691118494
41,43.04,2.158245508791879,5.135601687943563
42,67.4,2.069588744081557,5.183329679071903
43,63.239999999999995,2.463701280998066,5.561254738131538
44,54.339999999999996,2.060003188904375,5.114718058845028
45,61.49,1.793450650991872,4.871240753913298
46,51.459999999999994,1.7142258300445974,4.797899153782055
47,59.86,1.7673209230415523,4.727361550088972
48,62.49,1.12411806313321,4.190332982921973
49,60.39,1.9880232671275735,5.0416699522174895
50,68.06,1.389660295797512,4.971549795009196
