round,accuracy,training_time,round_time
1,13.23,1.885750450892374,5.545787224080414
2,16.97,1.5707662818022072,5.0534293439704925
3,25.16,3.088010473875329,6.363937741145492
4,30.740000000000002,3.9049211328383535,7.498728750040755
5,36.52,2.996252703014761,6.345286964206025
6,44.15,1.8148343730717897,5.186936090933159
7,50.56,2.086105918046087,7.483610154129565
8,54.59,0.8368550699669868,4.114616696955636
9,70.74000000000001,2.5071783759631217,5.766955670900643
10,74.78,2.1566180160734802,5.526694471016526
11,77.73,2.600831718882546,5.9609039661008865
12,83.0,3.0951790418475866,6.40966016612947
13,85.26,3.2399670421145856,6.67193503305316
14,84.49,1.8146714861504734,5.266639304114506
15,87.83999999999999,2.969369034981355,6.781699856976047
16,88.63,2.359805671032518,5.84745335415937
17,89.71000000000001,2.7624106991570443,6.157256352948025
18,90.21000000000001,3.97643574886024,7.359790222952142
19,91.47,3.661880168132484,7.0874944711104035
20,92.09,3.054447520058602,6.446979544125497
21,92.32000000000001,2.0864051058888435,5.497293347958475
22,92.44,2.714123260928318,5.97030017292127
23,93.04,3.608630231115967,7.306313406908885
24,93.14,2.7737370550166816,6.232707903953269
25,93.38,4.0028082970529795,7.311595037113875
26,93.53,3.0753979550208896,6.425164195010439
27,93.89999999999999,2.2406576951034367,5.609697906067595
28,93.95,2.404853511136025,5.872648691991344
29,94.33,2.819524507969618,6.179713780991733
30,94.48,2.916772000025958,6.178070188034326
31,94.47,2.667598605155945,6.3550434180069715
32,94.73,2.8124455420766026,6.084586072945967
33,94.83,1.5604834309779108,4.934334416873753
34,94.62,4.193523732945323,7.440536771900952
35,94.91000000000001,2.309949235059321,5.74867055285722
36,95.15,2.9547404549084604,6.191788896918297
37,95.44,1.8843981090467423,5.3112389938905835
38,95.13000000000001,2.3608721708878875,5.685079429997131
39,95.14,2.7769619920291007,6.106352608883753
40,95.35,3.5902359390165657,7.2620351708028466
41,95.53,2.275712364818901,7.294257054105401
42,95.58,0.876309058861807,4.439377563074231
43,95.42,3.8114825319498777,7.11351753002964
44,95.78,2.927268711151555,6.210730368038639
45,95.93,2.019556161016226,5.351341736968607
46,95.98,2.529809240018949,5.987560870824382
47,96.13000000000001,3.405235390877351,6.811658619204536
48,96.06,4.107479113154113,7.464615280041471
49,96.14,3.0552682031411678,6.379854165948927
50,96.17,2.688324337126687,6.156640375033021
