round,accuracy,training_time,round_time
1,9.74,1.0617989999999988,2.9082101
2,9.74,0.5133282999999995,2.393036799999999
3,9.74,0.678668,2.5097421000000004
4,9.74,0.7728067000000003,2.6275216000000015
5,9.74,0.7330301999999982,2.5586834999999972
6,9.74,0.6521217999999998,2.505469399999999
7,9.74,0.5727422000000004,2.4388748999999983
8,9.74,0.7513625000000026,2.6392404999999997
9,9.74,0.5904913999999977,2.4481905000000026
10,9.74,0.7425599999999974,2.601434100000006
11,9.74,0.5235738999999953,2.3490157999999965
12,9.74,0.6119447000000022,2.487742599999997
13,9.74,1.0679038999999975,2.9017179000000013
14,9.76,0.9699420000000032,2.7937767999999963
15,10.34,0.6903354000000022,2.501673099999998
16,11.98,0.5164501000000001,2.3813429
17,14.05,0.5564914999999999,2.395448899999998
18,15.870000000000001,0.6959087000000039,2.5337764999999948
19,17.1,0.7808970999999971,2.612618099999999
20,17.68,0.6223984999999956,2.472094399999996
21,18.13,0.798663100000006,2.6571724000000074
22,18.43,0.6844832000000025,2.479084400000005
23,19.759999999999998,0.8388908000000015,2.6929031000000094
24,23.06,0.4999025000000046,2.378723199999996
25,28.02,0.596082899999999,2.4408123000000046
26,35.370000000000005,0.5167066000000062,2.368161999999998
27,39.48,0.8341749000000078,2.657964700000008
28,41.339999999999996,0.6120628000000039,2.461388400000004
29,42.78,0.5625871000000018,2.386973100000006
30,43.29,0.5665230999999977,2.414839399999991
31,44.04,0.5346183999999994,2.387483400000008
32,46.29,0.8438962999999973,2.6388132000000013
33,49.47,0.5781503000000043,2.411872400000007
34,52.14,0.8155365000000074,2.6976167999999916
35,55.910000000000004,0.8150377999999989,2.660077400000006
36,58.209999999999994,0.5663387999999969,2.408107600000008
37,60.81999999999999,0.8595921000000004,2.6902048000000036
38,64.42999999999999,0.5281920999999983,2.3873806
39,66.46,0.8664361000000014,2.682237999999998
40,68.76,0.5977453999999938,2.476072700000003
41,70.39999999999999,0.780664999999999,2.6224114000000043
42,71.5,0.6705485000000095,2.5331623000000008
43,72.49,0.7067245000000071,2.523225800000006
44,73.41,0.7731430000000046,2.631159999999994
45,74.37,0.505916599999992,2.3598056000000014
46,75.19,0.746942500000003,2.6009244999999908
47,76.17,0.9715752999999978,2.838616000000002
48,76.48,0.562947400000013,2.4074731000000043
49,77.47,0.5540876999999966,2.405189999999976
50,78.08,0.5447123999999803,2.4446055999999885
