round,accuracy,training_time,round_time
1,18.2,2.7718363190069795,6.336934858001769
2,9.8,1.7479357260745019,5.034632039954886
3,9.950000000000001,2.1681993699166924,5.588997145881876
4,13.29,2.8569647280965,6.295437112916261
5,10.58,1.7760562759358436,5.306140386965126
6,33.900000000000006,3.2532749050296843,6.566570224007592
7,39.58,1.8667086670175195,5.30153798381798
8,59.550000000000004,3.127460245974362,6.4965448488947
9,65.55,2.793189228978008,6.10109940986149
10,70.30999999999999,3.8268588460050523,7.066268001217395
11,73.61,3.2106079780496657,6.661584089975804
12,75.26,3.5468418379314244,6.901944759069011
13,77.19,3.1154628170188516,6.335178154055029
14,79.86999999999999,2.4924577730707824,5.890903161838651
15,83.44,3.0522489859722555,6.3238132279366255
16,83.84,3.1915117730386555,6.608780744951218
17,80.61,2.706397867994383,6.05762862903066
18,84.56,2.0446293209679425,5.482105967123061
19,83.95,2.97254197509028,6.37392017012462
20,84.83000000000001,1.0916582481004298,5.747207098873332
21,86.44,1.433581278193742,4.711963301058859
22,79.82000000000001,4.115380798000842,7.448052040068433
23,85.92999999999999,2.303853942081332,5.704114925116301
24,86.72999999999999,3.865949305938557,7.169990262947977
25,87.24,2.2538422821089625,5.634562538005412
26,87.85,2.395498259924352,5.838304423959926
27,88.49000000000001,2.794981025857851,6.212623987114057
28,89.03999999999999,3.476779415970668,6.885290469042957
29,89.56,2.9294560900889337,6.501864942023531
30,88.09,2.0915509110782295,5.533745575929061
31,89.69,2.4473693480249494,5.685866134008393
32,89.94,4.080784116871655,7.443361979909241
33,89.73,2.1989273459184915,5.378450480056927
34,90.14,3.6742772350553423,6.980855305213481
35,90.24,2.123420224059373,5.6798982960172
36,89.71000000000001,2.1092884039971977,5.370303045958281
37,90.66,2.3326212889514863,6.074021250009537
38,89.92,2.4021509271115065,5.773142908001319
39,89.83,1.4947264990769327,4.86231954395771
40,90.86,2.178927300963551,5.541428324999288
41,90.66,2.6574252711143345,6.203566789859906
42,90.64,4.682859888067469,7.9022248410619795
43,90.14,3.389608504017815,6.679501181002706
44,91.10000000000001,2.6112864590249956,5.9577510769013315
45,90.09,2.4967743610031903,5.832605161005631
46,91.58,3.361317919101566,6.686894800979644
47,91.75,2.7103664909955114,5.928793763043359
48,91.61,2.1976979561150074,5.648894930025563
49,91.58,3.0103816310875118,6.30145000317134
50,91.47,2.9068842898122966,6.283708488103002
