round,accuracy,training_time,round_time
1,66.13,0.233987299999999,1.5976111999999993
2,76.55999999999999,0.11696229999999908,1.454316799999999
3,80.66,0.1262553999999998,1.4786777999999998
4,82.67,0.11110419999999976,1.408251100000001
5,83.42,0.19310190000000027,1.5116034999999997
6,84.49,0.14669040000000066,1.4557093000000023
7,85.02,0.14653260000000046,1.4588063000000027
8,85.64,0.14870679999999936,1.468309399999999
9,86.17,0.1923909999999971,1.5043471000000004
10,86.52,0.1514337000000019,1.4647576999999998
11,86.87,0.11576409999999981,1.4539274000000013
12,87.1,0.12120690000000067,1.4396716999999981
13,87.21,0.18521379999999965,1.5096279999999993
14,87.33999999999999,0.1409134999999999,1.4578138999999979
15,87.55,0.12279270000000153,1.4371206
16,87.86,0.18920909999999935,1.5416681999999966
17,87.91,0.1452984000000015,1.4650295
18,88.03999999999999,0.15214139999999787,1.4818922999999984
19,88.17,0.13780890000000312,1.458281300000003
20,88.16000000000001,0.11237540000000479,1.4526777000000024
21,88.42,0.13675799999999327,1.4496857000000034
22,88.4,0.10573679999999541,1.433053099999995
23,88.62,0.1127000000000038,1.4492112000000006
24,88.67,0.1754291999999964,1.5168632999999971
25,88.63,0.14884880000000322,1.4613495999999984
26,88.68,0.14796609999999788,1.4726275999999956
27,88.91,0.16093130000000144,1.479395100000005
28,88.83,0.10605050000000205,1.4240853000000016
29,88.88000000000001,0.17012370000000487,1.4952279000000033
30,88.84,0.11613100000000287,1.4487274000000028
31,88.82,0.14604690000000176,1.4773235000000042
32,88.9,0.16844389999999976,1.4885260000000002
33,88.96,0.15140310000000312,1.4642364999999984
34,89.21,0.1208309000000014,1.4501014999999953
35,89.21,0.11773210000000489,1.4456989999999976
36,89.2,0.10897160000000383,1.4408426000000034
37,89.11,0.1451034999999976,1.4663383000000039
38,89.25999999999999,0.15033619999999814,1.4833672999999976
39,89.34,0.12829419999999914,1.445703100000003
40,89.37,0.14099540000000843,1.4729978999999958
41,89.48,0.1459997000000044,1.466603500000005
42,89.4,0.13047419999999477,1.4558443999999895
43,89.4,0.2182250000000039,1.5251504999999952
44,89.59,0.1632766000000032,1.4819597000000044
45,89.64,0.15364950000000022,1.4791739000000064
46,89.63,0.12134400000000767,1.4402220999999997
47,89.64,0.10968360000001098,1.4441063000000014
48,89.75,0.21255800000000136,1.534551399999998
49,89.69,0.18079899999999327,1.5184407999999934
50,89.87,0.11600510000000952,1.4478220999999962
