round,accuracy,training_time,round_time
1,65.09,0.13661800000000035,1.4773324000000017
2,77.85,0.08890219999999971,1.4161297000000008
3,81.05,0.08942930000000082,1.4272393
4,83.05,0.1197897999999995,1.442219999999999
5,83.93,0.08953100000000092,1.4103387000000005
6,84.65,0.08389350000000029,1.3877856000000008
7,85.76,0.11349960000000081,1.4237727999999983
8,85.99,0.08437560000000133,1.3870588999999995
9,86.21,0.08508780000000016,1.4163469999999982
10,86.1,0.08462899999999962,1.3885185
11,86.44,0.09004290000000026,1.429964400000003
12,86.79,0.11854909999999919,1.4130882999999983
13,87.36,0.08571900000000099,1.3911957000000008
14,87.28,0.11400340000000142,1.4222317999999987
15,87.62,0.11373239999999996,1.4090723000000018
16,87.72999999999999,0.08637559999999667,1.4013728000000008
17,87.83,0.12124610000000047,1.4305207999999965
18,87.97,0.15330279999999874,1.4580223000000032
19,88.05,0.08800370000000157,1.408297300000001
20,88.18,0.08530430000000422,1.4104765000000015
21,88.2,0.08608149999999881,1.6061039000000008
22,88.33,0.11207120000000259,1.8718362999999982
23,88.49000000000001,0.08938539999999762,1.4220769000000004
24,88.51,0.09457189999999827,1.3973306000000036
25,88.34,0.08559129999999726,1.4204818999999986
26,88.52,0.09126410000000362,1.4616968999999997
27,88.59,0.08658910000000475,1.4340067999999988
28,88.88000000000001,0.08839599999999592,1.4159821000000008
29,88.91,0.08684650000000005,1.437858399999996
30,89.01,0.11708409999999958,1.4519100000000051
31,88.88000000000001,0.11819990000000047,1.4362039000000024
32,89.0,0.08735570000000337,1.4444536999999968
33,89.12,0.14310880000000026,1.5149021000000005
34,89.14,0.08934450000000282,1.4259068
35,89.21,0.08797460000000257,1.419764900000004
36,89.2,0.12012329999999594,1.4724549999999965
37,89.22,0.09285810000000083,1.4612906000000052
38,89.35,0.12315550000000286,1.4578798000000006
39,89.21,0.09261150000000384,1.4737437
40,89.37,0.08789250000000948,1.4467003999999974
41,89.39,0.09024410000000671,1.4032324000000074
42,89.4,0.12014680000000055,1.6522939000000036
43,89.61,0.08639620000001003,1.4545288000000056
44,89.53,0.093628900000013,1.3950333000000086
45,89.66,0.10317249999999945,1.3976454000000018
46,89.75,0.112390199999993,1.4639048000000088
47,89.74,0.08728299999999933,1.3970130000000012
48,89.68,0.1067916000000082,1.439661600000008
49,89.61,0.08798000000000172,1.4169673000000103
50,89.53,0.08945800000000759,1.3901214999999922
