round,accuracy,training_time,round_time
1,79.88,0.36418960000000133,1.7428112999999996
2,78.78,0.30885100000000065,1.7444448999999995
3,84.76,0.14337010000000028,1.5139402999999998
4,85.5,0.1230367999999995,1.7533928999999997
5,86.11,0.13216949999999983,1.465820100000002
6,86.44,0.3268291999999988,1.7665023000000026
7,84.6,0.14667759999999674,1.4817066000000025
8,87.46000000000001,0.25972249999999875,1.5971273000000004
9,86.36,0.34365449999999953,1.7060809
10,87.68,0.13642379999999932,1.482986099999998
11,86.33999999999999,0.21239699999999928,1.6641688000000023
12,87.13,0.20042279999999835,1.5601100999999993
13,87.61,0.2896839999999976,1.718618799999998
14,86.89,0.2394563000000005,1.6620344000000031
15,87.22,0.14802219999999977,1.5160303999999982
16,86.99,0.39060560000000066,1.7404940000000053
17,87.89,0.1541548000000006,1.5702639000000005
18,86.9,0.1854273999999947,1.5358990000000006
19,87.79,0.12391540000000134,1.5103871999999967
20,87.57000000000001,0.1678526999999974,1.6334304000000017
21,87.53999999999999,0.22130320000000125,1.6847806999999975
22,87.03,0.19344519999999932,1.589439899999995
23,87.26,0.35341590000000167,1.6963136000000034
24,87.56,0.24089599999999933,1.6667637999999982
25,87.5,0.13686220000000304,1.5102778999999984
26,87.62,0.2779303000000013,1.6413715000000053
27,87.36,0.1472801999999973,1.7114144999999965
28,87.75,0.15456509999999923,1.5631901
29,87.68,0.2851009000000033,1.6576491000000004
30,87.72,0.3054385999999951,1.6836379000000008
31,86.76,0.12941479999999927,1.517503099999999
32,87.35000000000001,0.1711554000000035,1.5837828000000016
33,86.32,0.21684510000000046,1.6966589000000027
34,87.82,0.31911009999999607,1.684525899999997
35,87.64999999999999,0.17691310000000016,1.5377254999999934
36,86.64,0.16580190000000528,1.5515436999999963
37,87.03999999999999,0.1404413000000062,1.4914564000000041
38,87.62,0.16903530000000444,1.5360585999999898
39,87.38,0.22834090000000629,1.6705896999999936
40,87.28,0.1593427000000105,1.5894023999999973
41,87.48,0.4387602000000044,1.787750900000006
42,87.96000000000001,0.18086480000000904,1.6116817000000054
43,87.09,0.1534975000000003,1.5090675999999945
44,87.09,0.18824569999999596,1.6131618000000003
45,87.9,0.1920484999999985,1.5479837999999972
46,87.62,0.33926879999999926,1.781467500000005
47,87.74,0.16262960000000248,1.5730559
48,87.01,0.24860089999999957,1.5992082999999866
49,87.22,0.20585850000000505,1.7047702999999927
50,87.26,0.10188099999999167,1.5553330999999986
