round,accuracy,training_time,round_time
1,50.449999999999996,0.18906129999999877,1.5469682999999996
2,39.76,0.15234419999999993,1.4983012000000002
3,18.96,0.15510240000000053,1.4695763999999993
4,18.21,0.18547260000000065,1.5339493000000015
5,30.919999999999998,0.13330650000000155,1.4644922999999999
6,58.18,0.13468320000000134,1.4477867999999994
7,63.12,0.1312028000000005,1.4429003999999992
8,52.32,0.14697869999999824,1.4655218999999988
9,57.64,0.20478450000000237,1.5235427000000001
10,65.66,0.1370274000000009,1.4610602999999998
11,70.33,0.12271400000000199,1.4509635000000003
12,77.77,0.11815089999999984,1.4328649999999996
13,77.05,0.1273206000000009,1.4438662999999998
14,69.96,0.17977050000000006,1.5123835999999997
15,69.28,0.2019902000000009,1.505901699999999
16,58.199999999999996,0.16745449999999806,1.499569600000001
17,61.029999999999994,0.11526429999999976,1.4298031000000009
18,79.02,0.2665614000000005,1.6025637999999987
19,77.51,0.17999040000000122,1.5119040000000012
20,78.18,0.13757499999999823,1.4753389000000041
21,83.62,0.19897890000000018,1.5352645999999979
22,82.36,0.15262710000000368,1.463417200000002
23,77.91,0.11518719999999405,1.4343714999999975
24,83.48,0.14067370000000068,1.4755809000000042
25,82.25,0.1656862999999973,1.503904200000001
26,83.44,0.1544808999999958,1.4970005999999998
27,83.75,0.1399308000000019,1.4662486000000001
28,85.87,0.11607630000000313,1.4512254000000055
29,84.76,0.1337034000000017,1.4585970999999986
30,85.87,0.1629497999999998,1.4666182000000063
31,78.31,0.10742230000000319,1.4486042000000054
32,82.43,0.16751749999999532,1.496965000000003
33,83.93,0.11509250000000293,1.4200936999999954
34,80.7,0.22496890000000036,1.5478214000000037
35,82.45,0.12268889999999999,1.4353437999999983
36,79.13,0.21522850000000204,1.5531305999999958
37,79.03999999999999,0.12137410000000415,1.4294948000000076
38,84.26,0.23810230000000132,1.5697422000000074
39,81.75,0.11974850000000004,1.4690480000000008
40,86.75,0.20671149999999727,1.5489517999999975
41,81.51,0.22132789999999147,1.5538086000000106
42,85.26,0.16519510000000537,1.5002759999999995
43,80.11,0.18763859999999966,1.5228077000000013
44,84.16,0.19538020000000245,1.5245319999999936
45,77.18,0.11336339999999723,1.4417045000000002
46,82.78999999999999,0.11093809999999849,1.459217499999994
47,87.64999999999999,0.17686569999999335,1.5022924000000017
48,80.2,0.16104809999998793,1.5056421000000029
49,84.89999999999999,0.11437530000000606,1.4509958999999952
50,83.99,0.20188269999999875,1.51849
