round,accuracy,training_time,round_time
1,63.849999999999994,0.4031348000000001,1.8016678000000006
2,65.42,0.1715081000000005,1.5508301000000007
3,72.28999999999999,0.2157429999999998,1.5848465000000012
4,72.58,0.13009249999999994,1.5130424999999992
5,61.0,0.16577700000000029,1.5187507000000018
6,42.24,0.15828359999999897,1.5410574000000032
7,67.78999999999999,0.3634965000000001,1.727992099999998
8,80.31,0.17903790000000086,1.6251780000000018
9,72.23,0.17525469999999999,1.5785959999999974
10,81.38,0.2309701000000004,1.5731155
11,79.58,0.2554191999999986,1.6633236999999994
12,80.12,0.19891339999999857,1.5698919999999994
13,74.38,0.25012800000000013,1.6931692999999974
14,77.42,0.15379460000000122,1.5581657000000035
15,78.79,0.3086897000000022,1.724855599999998
16,66.83,0.2975082000000029,1.8385680000000022
17,63.690000000000005,0.15907709999999753,1.5470393000000016
18,78.4,0.24050769999999488,1.6400755999999959
19,86.38,0.18706189999999623,1.6048267999999979
20,83.67,0.14978419999999915,1.5121216000000004
21,84.0,0.1444207999999989,1.5681710999999936
22,80.46,0.2060689999999994,1.620690500000002
23,71.06,0.4651481000000004,1.8939977
24,54.2,0.15109549999999672,1.5658245999999991
25,71.89999999999999,0.2657586000000052,1.6079971999999998
26,62.260000000000005,0.4253870000000006,1.8145558000000008
27,70.3,0.1328760000000031,1.5627672000000032
28,70.48,0.26559730000000314,1.6350570000000033
29,70.19999999999999,0.3393058999999994,1.818515099999999
30,75.25,0.15651989999999927,1.6025363000000041
31,83.09,0.1523540999999966,1.520276299999999
32,85.81,0.41929760000000016,1.8175078000000013
33,84.97,0.13128859999999776,1.5284693000000047
34,84.77,0.19031929999999875,1.5592742999999984
35,86.81,0.23115340000000373,1.660769000000002
36,86.53999999999999,0.16745800000001054,1.6600436000000087
37,84.74000000000001,0.3481014999999985,1.7300725999999997
38,84.34,0.13849159999999472,1.565533000000002
39,85.31,0.25185349999999573,1.6289938000000035
40,87.24,0.2054052000000013,1.6104602000000057
41,87.21,0.13362960000000612,1.5135798000000023
42,85.69,0.3957101000000023,1.7519158000000061
43,88.03999999999999,0.14822479999999416,1.6215521999999964
44,87.53999999999999,0.2149002999999965,1.654164399999999
45,86.18,0.4050026000000031,1.7922437000000002
46,87.31,0.322865500000006,1.7894844000000063
47,87.22,0.09738209999999015,1.5094312999999886
48,88.09,0.4571303000000029,1.8568348000000015
49,87.38,0.15513780000000565,1.6095564999999965
50,87.62,0.2733910000000037,1.6162266999999986
