round,accuracy,training_time,round_time
1,62.13999999999999,1.4811575999999995,8.282160999999999
2,67.47999999999999,0.24640030000000124,1.6632444
3,78.96,0.2555462000000013,1.6448335999999983
4,79.10000000000001,0.17619760000000184,1.6716166000000001
5,86.53,0.2274926000000015,1.5823312000000023
6,87.0,0.35413790000000134,1.7019194999999954
7,82.25,0.1825758999999998,1.5222526000000016
8,83.38,0.1895294000000014,1.5458545000000044
9,86.79,0.1818251999999987,1.5158361999999954
10,86.71,0.2760023999999994,1.6364666000000057
11,84.89,0.1484591999999978,1.5507471999999964
12,87.64,0.22910630000000154,1.594932700000001
13,87.79,0.32406569999999846,1.6751369999999994
14,87.13,0.12689600000000212,1.5397583000000026
15,86.86,0.16665309999999778,1.589720799999995
16,86.2,0.1431278999999961,1.4530789000000013
17,88.75999999999999,0.19193410000000455,1.5395407000000034
18,86.59,0.1191424000000012,1.4690178999999972
19,88.66000000000001,0.24925269999999955,1.5785595999999984
20,87.24,0.17178720000000425,1.508182600000005
21,86.98,0.2297224,1.6105581000000058
22,87.94,0.11662060000000452,1.4953322
23,87.42999999999999,0.18891710000000472,1.5365898999999956
24,87.77000000000001,0.14704779999999573,1.5060095000000047
25,88.34,0.19195599999999757,1.5231556000000026
26,86.83,0.19555610000000456,1.549993999999998
27,87.35000000000001,0.182660300000002,1.5184314999999984
28,87.6,0.1392722999999947,1.5025747999999908
29,87.69,0.13402039999999715,1.4749584000000056
30,87.94999999999999,0.17731589999999642,1.5495723000000083
31,88.46000000000001,0.18634050000000002,1.5167677999999967
32,87.83,0.1481766999999934,1.5255698999999936
33,88.07000000000001,0.11646569999999201,1.451716300000001
34,88.44999999999999,0.12918439999999975,1.463218299999994
35,88.57000000000001,0.15174430000000427,1.4814949000000013
36,88.07000000000001,0.13825319999999408,1.5262560999999977
37,88.44,0.2110492999999991,1.5304888000000005
38,88.83,0.23882030000000043,1.5773745999999988
39,87.92,0.15572049999998683,1.5546307999999982
40,88.44,0.11721239999999966,1.4841911000000039
41,87.51,0.1461540000000099,1.4808630999999934
42,87.77000000000001,0.16851110000000347,1.5433802000000014
43,88.32,0.1179678000000024,1.4616894999999914
44,88.19,0.133916499999998,1.4692002999999971
45,87.66000000000001,0.12950060000000008,1.4910672000000034
46,88.75,0.11491949999999918,1.4599896
47,88.53999999999999,0.13958180000000198,1.4731590999999895
48,87.2,0.300875199999993,1.678765900000002
49,87.53999999999999,0.20538299999999765,1.5178597000000025
50,87.24,0.14654740000000288,1.6142336999999998
