round,accuracy,training_time,round_time
1,21.08,1.1403289157897234,7.4162071528844535
2,49.04,1.2353711728937924,7.57419733190909
3,42.199999999999996,1.2767558046616614,7.421070158947259
4,54.190000000000005,1.3049397701397538,7.634991915896535
5,45.17,1.1950360788032413,7.73577501391992
6,51.53,1.178426549769938,7.580278706736863
7,59.89,0.808011821936816,4.172451947815716
8,36.68,0.1848902627825737,3.1378022423014045
9,44.34,0.23151983693242073,2.983303443994373
10,62.41,0.3023009770549834,6.6269684340804815
11,49.26,1.4652725937776268,8.006942098028958
12,48.79,1.4220833471044898,7.957755737006664
13,58.63,1.217945549171418,8.040166027843952
14,64.36,1.219173904042691,7.9368961956351995
15,69.44,1.5235796798951924,7.200125765055418
16,68.52000000000001,0.8330325111746788,4.17041887762025
17,62.4,4.0188677767291665,11.406114579178393
18,46.589999999999996,1.4225468561053276,8.052169210277498
19,64.48,1.261670215986669,8.074792397674173
20,64.75,1.3373439628630877,7.982173408847302
21,67.5,1.1770663070492446,7.789109350182116
22,72.08,1.3720022649504244,7.046687582973391
23,67.25,0.5150009021162987,3.4498109207488596
24,78.43,0.30030565708875656,3.405005196109414
25,65.41,0.2803143193013966,3.0932135176844895
26,56.43,0.2985948398709297,3.0380235291086137
27,77.16,0.16677667014300823,3.1412562672048807
28,72.00999999999999,0.19731474202126265,3.169721822720021
29,80.28999999999999,0.23065393138676882,5.790568120311946
30,73.55000000000001,1.3306851251982152,8.073152330238372
31,64.84,1.3383138179779053,7.783894821070135
32,71.04,1.3342247297987342,7.825098696164787
33,68.28,1.4569399156607687,7.7973130429163575
34,74.86,1.2626873962581158,8.118735088966787
35,76.78,0.6922392803244293,3.8785478337667882
36,74.77000000000001,0.1780628408305347,2.9471983071416616
37,82.41000000000001,1.176309371367097,7.4788658907637
38,76.78,1.439413147047162,8.021160450764
39,82.97,1.2379928631708026,7.585510110948235
40,77.38000000000001,1.631274649873376,7.606507686898112
41,79.74,1.5187600771896541,7.691524379886687
42,84.57000000000001,1.68343888502568,7.846483936067671
43,76.83,1.4741402976214886,4.925198705866933
44,83.93,0.18031122302636504,4.35889836307615
45,79.03999999999999,1.380561308003962,7.872384090907872
46,78.06,1.5896813799627125,8.140832236036658
47,84.69,1.5164991319179535,8.0325488159433
48,84.3,1.4967813990078866,7.830017285887152
49,73.39,1.328147609718144,7.9449117868207395
50,79.05,1.3999544377438724,5.354155274108052
51,85.25,0.3621253459714353,6.476190253160894
52,70.06,1.3814350459724665,7.7740226541645825
53,65.25999999999999,1.4833844942040741,7.700713822618127
54,66.49000000000001,1.4091224139556289,8.045558606740087
55,82.89,1.2943407748825848,7.796709395945072
56,77.86999999999999,1.4103240491822362,7.574897960759699
57,76.59,1.4654273139312863,6.707803034223616
58,73.18,1.563871962018311,7.870009636040777
59,85.05,1.413135094102472,7.95095009310171
60,65.39,1.459765532054007,7.832753316964954
61,83.17999999999999,1.7939840047620237,7.912868146784604
62,78.57,1.9742528018541634,8.409520756918937
63,78.58000000000001,1.6761208060197532,6.45445964904502
64,77.29,0.16802383912727237,3.5035967072471976
65,84.39,0.18725021369755268,2.951841836795211
66,86.65,0.18713140906766057,2.940707162953913
67,84.96000000000001,0.3491078047081828,4.418416487984359
68,81.99,1.4253852488473058,7.706818351987749
69,85.28999999999999,1.3469647262245417,7.9714892390184104
70,73.37,1.387751406058669,7.871033523231745
71,85.0,1.466314376797527,8.429368338081986
72,83.52000000000001,1.4597981730476022,7.8591428110376
73,84.78,1.360392739996314,6.557801391929388
74,85.85000000000001,0.2023916351608932,3.031123104970902
75,83.84,0.8010816448368132,7.4567996873520315
76,87.17,1.414216844830662,8.320511920843273
77,85.36,1.5562291638925672,8.30637010699138
78,74.62,1.5737523627467453,8.024774211924523
79,75.42,1.5372701878659427,8.75062296492979
80,83.48,1.406581484246999,8.016809840220958
81,78.43,1.5179944918490946,5.06937881372869
82,79.05,0.24218032229691744,3.4974586102180183
83,81.53,0.5707796011120081,3.2581865838728845
84,79.56,0.6962579907849431,3.3747535538859665
85,85.94000000000001,0.9657055297866464,3.6150887948460877
86,80.96,0.8871681913733482,5.393779919017106
87,80.63,1.9069505822844803,8.250783984083682
88,86.56,1.626261755824089,8.501998723950237
89,77.7,1.4062389768660069,7.719462452922016
90,87.52,1.4349417858757079,7.842644116841257
91,84.71,1.353965772781521,7.725261917337775
92,87.48,1.2746077999472618,5.557493094820529
93,85.11999999999999,0.6473561022430658,7.159927953965962
94,78.73,1.344111641868949,8.234460644889623
95,80.80000000000001,1.4039837862364948,7.997780852951109
96,87.94999999999999,1.358672787901014,7.788630448747426
97,81.73,1.412923054303974,8.188047539908439
98,82.67,1.3107849969528615,7.489854845684022
99,87.14,0.6329743121750653,3.541272239293903
100,72.81,0.1936312266625464,3.0340520897880197
