round,accuracy,training_time,round_time
1,38.96,1.4413774000000004,8.792997
2,48.66,0.17800259999999923,1.5724996000000004
3,56.330000000000005,0.29020750000000106,1.670054699999998
4,76.24,0.15302780000000027,1.6365902999999982
5,56.010000000000005,0.2140917999999985,1.6402864999999984
6,72.14,0.22477000000000302,1.5973271999999987
7,65.52,0.1390886999999985,1.4863469999999985
8,70.21,0.42063240000000235,1.7871205000000003
9,59.309999999999995,0.2798392000000014,1.6669687999999994
10,73.83,0.1823332000000022,1.5539141
11,80.28,0.19947189999999893,1.5950553999999997
12,81.17,0.16054249999999826,1.5291112000000027
13,75.03999999999999,0.25881940000000014,1.708871699999996
14,75.13,0.141038199999997,1.5930582000000015
15,72.94,0.14959360000000288,1.5191495999999987
16,85.13,0.2962269000000006,1.6584733999999983
17,80.47999999999999,0.14922250000000048,1.563221200000001
18,72.86,0.2021581999999995,1.5470801000000023
19,80.11,0.17025939999999906,1.5564024000000032
20,72.86,0.13523999999999603,1.5031952000000004
21,82.78,0.12394859999999852,1.4760053999999982
22,82.28,0.23464720000000483,1.5899185999999972
23,83.14,0.1335367000000005,1.5512378000000027
24,79.83,0.3357382999999956,1.679939400000002
25,75.94,0.20043619999999862,1.5513162999999963
26,87.13,0.15657129999999597,1.493402500000002
27,74.86,0.27719749999999976,1.6511343999999966
28,76.63,0.13219990000000337,1.5005488999999983
29,87.22999999999999,0.11013769999999568,1.4661413000000039
30,85.24000000000001,0.15365859999999998,1.5047758000000044
31,84.28,0.33304630000000657,1.6883286999999996
32,81.27,0.13663669999999684,1.478517999999994
33,79.23,0.12241919999999595,1.4732103000000052
34,81.05,0.11321619999999655,1.457639300000011
35,81.22,0.17443969999999354,1.5224077999999963
36,85.0,0.2122805999999997,1.6067454000000083
37,81.39,0.17908740000000023,1.5209945000000005
38,81.47,0.29070810000000336,1.6526554000000004
39,80.60000000000001,0.14850579999999525,1.484715499999993
40,82.52000000000001,0.19529970000000674,1.6284724000000068
41,78.61,0.1710551000000038,1.4975211000000002
42,85.04,0.21476289999999665,1.586857099999989
43,86.7,0.1730289000000056,1.5174573999999978
44,86.69,0.2358612000000022,1.5886828000000008
45,82.89999999999999,0.13526960000000088,1.4877242000000024
46,85.26,0.2025732999999974,1.644143299999996
47,81.75,0.12235170000001006,1.4959895000000074
48,84.37,0.14289200000000335,1.7808355000000091
49,78.42,0.4575695000000053,1.8709751000000097
50,80.11,0.34831479999999715,1.694167500000006
51,79.71000000000001,0.15232880000000648,1.514458200000007
52,82.25,0.18995230000000163,1.5835746000000057
53,83.11,0.14182639999999935,1.5238597000000027
54,88.03,0.1323404000000039,1.4987262000000072
55,83.91,0.1318205999999975,1.5036118999999957
56,86.65,0.27612050000000465,1.6973673000000105
57,84.28999999999999,0.23688459999999623,1.636799400000001
58,82.61,0.2746288000000021,2.011584499999998
59,81.15,0.32503350000000353,1.7876257000000066
60,82.99,0.11169340000000716,1.5441280999999947
61,88.63,0.1390895000000114,1.5019308999999907
62,85.28999999999999,0.19106589999999812,1.5546357000000057
63,81.11,0.22058059999999102,1.5951312999999914
64,86.2,0.13219410000000664,1.484256000000002
65,81.03,0.11747080000000665,1.5481501000000009
66,77.97,0.1638341999999966,1.5406720000000007
67,80.97,0.24275159999999119,1.6143503999999922
68,80.77,0.11538769999999943,1.486504100000019
69,81.11,0.3088711000000046,1.6983196999999848
70,87.92999999999999,0.11976520000000335,1.4873501000000147
71,87.3,0.15007449999998812,1.553493799999984
72,89.42,0.12596389999998792,1.5338346000000058
73,86.53,0.20134960000000035,1.5694502000000057
74,86.82,0.2234327000000178,1.5829828999999904
75,81.72,0.24409389999999576,1.608092699999986
76,88.08,0.24209379999999214,1.5947289000000069
77,85.11,0.24078289999999924,1.7242158999999901
78,84.75,0.09782360000002654,1.4487971000000073
79,82.94,0.10154560000000856,1.4378659999999854
80,84.25,0.11087949999998159,1.4408281000000045
